BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
3840; AVANTI N.CORT - 138;    7,896;    7,849;;
3882; ANDRADINA - 138;    7,898;    7,848;;
44594; ANEMUS - 230;    4,164;    4,009;;
5100; ANGELIM - 500;    5,285;    4,749;;
5103; ANGELIM - 69;    5,402;    4,865;;
5101; ANGELIM - 230;    5,401;    4,864;;
185; ANGRA 1 - 138;    8,390;    8,315;;
105; ANGRA - 500;    8,314;    8,234;;
1773; ANGRA AMPLA - 138;    8,427;    8,355;;
762; ANHANGUERA - 69;    7,917;    7,795;;
761; ANHANGUERA - 138;    7,908;    7,784;;
760; ANHANGUERA GO - 230;    7,917;    7,795;;
444; ANHANGUERA - 88;    9,306;    9,424;;
431; ANHANGUERA SP - 230;    9,713;    9,925;;
439; ANHANGUERA - 345;    9,306;    9,424;;
459; APARECIDA - 88;    8,750;    8,775;;
458; APARECIDA - 230;    8,750;    8,775;;
879; APUCARANA - 138;    9,111;    9,468;;
878; APUCARANA - 230;    9,112;    9,469;;
5383; AQUIRAZ II - 69;    5,184;    4,633;;
5381; AQUIRAZ - 230;    5,184;    4,633;;
2296; ARACATUBA - 138;    8,210;    8,200;;
4081; ARACUAI 2 - 138;    5,814;    5,293;;
4070; ARACUAI - 230;    5,837;    5,317;;
6083; ARAPIRACA III - 69;    7,471;    7,256;;
6081; ARAPIRACA III - 230;    7,471;    7,256;;
3802; ARARAS 1 - 138;    8,762;    8,824;;
3803; ARARAS 2 - 138;    8,772;    8,836;;
560; ARARAQUARA CTP - 138;    8,468;    8,489;;
559; ARARAQUARA - 440;    8,482;    8,510;;
101; ARARAQUARA - 500;    8,052;    8,028;;
99; ARARAQUARA - 525;    8,052;    8,028;;
589; ARARAS SP - 440;    8,827;    8,898;;
7058; ARARAQUARA 2 - 440;    8,224;    8,214;;
7057; ARARAQUARA 2 - 500;    8,074;    8,048;;
7411; ARAXA 3 - 138;    7,428;    7,210;;
7410; ARAXA 3 - 345;    7,397;    7,174;;
5093; ARCOVERDE II - 69;    5,332;    4,771;;
5092; ARCOVERDE II - 230;    5,332;    4,771;;
9336; AREIA - 13,8;    9,088;    9,586;;
823; AREIA - 138;    9,090;    9,588;;
934; AREIA - 230;    9,076;    9,569;;
933; AREIA - 525;    8,683;    9,143;;
4349; ARINOS 2 - 500;    5,682;    5,166;;
6881; ARIQUEMES - 69;    7,640;    7,109;;
6880; ARIQUEMES - 230;    7,640;    7,109;;
3804; A.NOGUEIRA - 138;    8,821;    8,895;;
3841; ARUJA - 138;    9,118;    9,213;;
7626; ARUJA 2 - 138;    9,114;    9,208;;
45680; ASOLO 2 - 230;    6,833;    6,559;;
552; ASSIS - 440;    8,297;    8,359;;
556; ASSIS - 525;    8,298;    8,414;;
3192; ASSIS I - 88;    8,686;    8,837;;
551; ASSIS 2 - 230;    8,642;    8,792;;
3193; ASSIS III - 88;    8,677;    8,827;;
4130; PETRO ATIBAIA - 138;    9,080;    9,170;;
3842; ATIBAIA 1 - 138;    9,079;    9,168;;
697; ATIBAIA 2 - 345;    9,118;    9,208;;
3843; ATIBAIA 3 - 138;    9,090;    9,181;;
1331; ATLANTIDA 2 - 69;    9,632;   10,410;;
1330; ATLANTIDA 2 - 230;    9,632;   10,410;;
2337; AUXILIADORA - 138;    9,426;    9,623;;
629; AVARE - 230;    9,652;    9,900;;
3150; AVARE NOVA - 230;    9,652;    9,900;;
537; AGUA VERMELHA - 138;    7,832;    7,753;;
536; AGUA VERMELHA - 440;    7,744;    7,648;;
535; AGUA VERMELHA - 500;    7,566;    7,428;;
451; AVILLAR - 230;    9,410;    9,549;;
3058; VILA DE PAIVA - 88;    9,294;    9,387;;
9891; ANDIRA LESTE - 138;    9,148;    9,434;;
9892; ANDIRA LESTE - 230;    9,119;    9,383;;
229; BARRO ALTO - 230;    6,624;    6,116;;
2980; BARRO ALTO - 69;    6,624;    6,116;;
4040; BARRO BRANCO - 345;    8,155;    7,983;;
3146; BERNAR.CAMPOS - 88;    9,223;    9,435;;
9444; B. DOS COQUEIROS - 230;    6,789;    6,506;;
5511; B.ESPERANCA - 230;    5,523;    5,003;;
5510; B.ESPERANCA - 500;    5,209;    4,645;;
5678; UB.ESPERANCA - 69;    5,524;    5,004;;
221; BRAS. GERAL - 34,5;    7,604;    7,403;;
227; BRASILIA GERAL - 230;    7,604;    7,403;;
576; BOM JARDIM - 88;    8,948;    9,034;;
575; BOM JARDIM - 138;    8,990;    9,076;;
574; BOM JARDIM - 440;    8,948;    9,034;;
7183; BOM JESUS II - 69;    5,541;    5,056;;
7181; B.JESUS II - 230;    5,541;    5,056;;
3698; BRAS. LESTE - 138;    6,815;    6,467;;
3699; BRASILIA LESTE - 500;    6,742;    6,380;;
5403; BOM NOME - 69;    4,914;    4,403;;
5402; BOM NOME - 138;    4,914;    4,403;;
