GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ASA BRANCA II,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL ASA BRANCA III,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL ASA BRANCA IV,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL ASA BRANCA V,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL ASA BRANCA VI,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL ASA BRANCA VII,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL ASA BRANCA VIII,0,10.64,11.454,12.387,13.523,14.909,15.004,15.539,15.384,15.407,15.387,15.367,15.347000000000001,15.327000000000002,15.307000000000002,15.287000000000003,15.267000000000003,15.247000000000003
EOL ASSURUA 4 I,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 4 II,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 4 III,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 4 IV,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 4 V,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 4 VI,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 5 I,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 5 II,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 5 III,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 5 IV,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 5 V,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA 5 VI,0,11.069,11.714,11.722,12.224,12.709,12.725,13.177,12.951,12.969,12.949,12.929,12.909,12.889000000000001,12.869000000000002,12.849000000000002,12.829000000000002,12.809000000000003
EOL ASSURUA II,0,10.918,11.076,11.183,11.757,11.79,11.799,12.197,11.932,11.949,11.929,11.909,11.889000000000001,11.869000000000002,11.849000000000002,11.829000000000002,11.809000000000003,11.789000000000003
EOL ASSURUA III,0,10.918,11.076,11.183,11.757,11.79,11.799,12.197,11.932,11.949,11.929,11.909,11.889000000000001,11.869000000000002,11.849000000000002,11.829000000000002,11.809000000000003,11.789000000000003
EOL ASSURUA IV,0,10.918,11.076,11.183,11.757,11.79,11.799,12.197,11.932,11.949,11.929,11.909,11.889000000000001,11.869000000000002,11.849000000000002,11.829000000000002,11.809000000000003,11.789000000000003
EOL ASSURUA V,0,10.918,11.076,11.183,11.757,11.79,11.799,12.197,11.932,11.949,11.929,11.909,11.889000000000001,11.869000000000002,11.849000000000002,11.829000000000002,11.809000000000003,11.789000000000003
EOL ASSURUA VII,0,10.918,11.076,11.183,11.757,11.79,11.799,12.197,11.932,11.949,11.929,11.909,11.889000000000001,11.869000000000002,11.849000000000002,11.829000000000002,11.809000000000003,11.789000000000003
EOL ATLANTICA I,0,5.5,6.409,5.655,4.959,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL ATLANTICA II,0,5.5,6.409,5.655,4.959,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL ATLANTICA IV,0,5.5,6.409,5.655,4.959,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL ATLANTICA V,0,5.5,6.409,5.655,4.959,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA CAETITE 01,0,10.456,10.793,10.431,10.705,11.046,11.038,11.414,11.122,11.138,11.118,11.098,11.078000000000001,11.058000000000002,11.038000000000002,11.018000000000002,10.998000000000003,10.978000000000003
EOL AURA CAETITE 02,0,10.456,10.793,10.431,10.705,11.046,11.038,11.414,11.122,11.138,11.118,11.098,11.078000000000001,11.058000000000002,11.038000000000002,11.018000000000002,10.998000000000003,10.978000000000003
EOL AURA CAETITE 03,0,10.456,10.793,10.431,10.705,11.046,11.038,11.414,11.122,11.138,11.118,11.098,11.078000000000001,11.058000000000002,11.038000000000002,11.018000000000002,10.998000000000003,10.978000000000003
EOL AURA CAETITE 04,0,10.456,10.793,10.431,10.705,11.046,11.038,11.414,11.122,11.138,11.118,11.098,11.078000000000001,11.058000000000002,11.038000000000002,11.018000000000002,10.998000000000003,10.978000000000003
EOL AURA LAGOA DO BARRO 01,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA LAGOA DO BARRO 02,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA LAGOA DO BARRO 03,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA LAGOA DO BARRO 04,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA LAGOA DO BARRO 05,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA LAGOA DO BARRO 06,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA LAGOA DO BARRO 07,0,10.859,11.333,11.823,12.595,13.687,13.705,14.03,13.877,13.897,13.877,13.857000000000001,13.837000000000002,13.817000000000002,13.797000000000002,13.777000000000003,13.757000000000003,13.737000000000004
EOL AURA MANGUEIRA IV,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MANGUEIRA VI,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MANGUEIRA VII,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MANGUEIRA XI,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MANGUEIRA XII,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MANGUEIRA XIII,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MANGUEIRA XV,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
EOL AURA MANGUEIRA XVII,0,6.613,7.277,6.437,5.367,5.186,5.179,5.345,5.361,5.368,5.348000000000001,5.328000000000001,5.308000000000002,5.288000000000002,5.2680000000000025,5.248000000000003,5.228000000000003,5.208000000000004
