USINA;CEG;CÓD. ONS;UF;MUST;CLASSIFICAÇÃO;CICLO TC N-1;CICLO TB N;TC N;TUST Estab.;TUST RB
UFV HELIO VALGAS 10;043001-3;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 2;042992-9;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 3;042993-7;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 4;042994-5;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 5;042995-3;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 6;042996-1;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 7;042997-0;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 8;042998-8;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HELIO VALGAS 9;042999-6;;MG;50,0;ENVOLTÓRIA;;9,993;9,993;;9,993
UFV HORIZONTE MP 1;033757-9;;BA;28,3;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV HORIZONTE MP 11;033777-3;;BA;19,7;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV HORIZONTE MP 2;033759-5;;BA;28,3;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV ITUVERAVA 1;032316-0;;BA;28,0;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV ITUVERAVA 2;032317-9;;BA;28,0;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV ITUVERAVA 3;032318-7;;BA;28,0;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV ITUVERAVA 4;032319-5;;BA;28,0;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV ITUVERAVA 5;032320-9;;BA;28,0;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV ITUVERAVA 6;032321-7;;BA;28,0;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV ITUVERAVA 7;032322-5;;BA;28,0;ENVOLTÓRIA;;11,751;11,751;;11,751
UFV JAIBA C;043150-8;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA CE;043148-6;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA CN;043147-8;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA CO;043151-6;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA CS;043164-8;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA L1;043163-0;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA L2;043152-4;;MG;19,7;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA NE2;043154-0;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA NE3;043157-5;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA NO2;043153-2;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA S;043158-3;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA SE2;043155-9;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JAIBA SO;043156-7;;MG;39,4;ENVOLTÓRIA;;12,532;12,532;;12,532
UFV JANAUBA 1;040857-3;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 10;040866-2;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 11;040867-0;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 12;040868-9;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 13;040869-7;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 14;040870-0;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
UFV JANAUBA 15;040871-9;;MG;50,0;ENVOLTÓRIA;;10,978;10,978;;10,978
