2024,2025,2026,2027,2028,2029,2030,2031
UFV OURO 1,EOL VENTOS DE SANTA MARCELLA 03,UFV SERRA DO MEL IX,UFV JANAUBA VLT III,UFV JANAUBA VLT III,UFV JANAUBA VLT III,UFV JANAUBA VLT III,UFV JANAUBA VLT III
UFV OURO 2,EOL VENTOS DE SANTA MARCELLA 04,UFV SERRA DO MEL X,UFV JANAUBA VLT IV,UFV JANAUBA VLT IV,UFV JANAUBA VLT IV,UFV JANAUBA VLT IV,UFV JANAUBA VLT IV
UFV OURO 3,EOL VENTOS DE SANTA MARCELLA 05,UFV SOLAR IRECE 2,UFV LAGOINHA I,UFV LAGOINHA I,UFV LAGOINHA I,UFV LAGOINHA I,UFV LAGOINHA I
UFV OURO 4,EOL VENTOS DE SANTA MARCELLA 06,UFV NELORE 1,UFV LAGOINHA II,UFV LAGOINHA II,UFV LAGOINHA II,UFV LAGOINHA II,UFV LAGOINHA II
UFV OURO 5,UFV VEREDA 1,UFV NELORE 2,UFV LAGOINHA III,UFV LAGOINHA III,UFV LAGOINHA III,UFV LAGOINHA III,UFV LAGOINHA III
UFV OURO 6,UFV VEREDA 2,UFV NELORE 3,UFV LAGOINHA IV,UFV LAGOINHA IV,UFV LAGOINHA IV,UFV LAGOINHA IV,UFV LAGOINHA IV
UFV OURO 7,UFV VEREDA 3,UFV NELORE 4,UFV LUZEIRO 1,UFV LUZEIRO 1,UFV LUZEIRO 1,UFV LUZEIRO 1,UFV LUZEIRO 1
UFV OURO 8,UFV VEREDA 4,UFV NELORE 5,UFV LUZEIRO 2,UFV LUZEIRO 2,UFV LUZEIRO 2,UFV LUZEIRO 2,UFV LUZEIRO 2
UFV OURO 9,UFV VEREDA 5,UFV SKY ARINOS I,UFV LUZEIRO 3,UFV LUZEIRO 3,UFV LUZEIRO 3,UFV LUZEIRO 3,UFV LUZEIRO 3
UFV OURO 10,UFV VEREDA 6,UFV SKY ARINOS II,UFV LUZEIRO 4,UFV LUZEIRO 4,UFV LUZEIRO 4,UFV LUZEIRO 4,UFV LUZEIRO 4
UFV OURO 11,UFV VEREDA 7,UFV SKY ARINOS III,UFV LUZEIRO 5,UFV LUZEIRO 5,UFV LUZEIRO 5,UFV LUZEIRO 5,UFV LUZEIRO 5
UFV OURO 12,UFV VEREDA 8,UFV SKY ARINOS IV,UFV LUZEIRO 6,UFV LUZEIRO 6,UFV LUZEIRO 6,UFV LUZEIRO 6,UFV LUZEIRO 6
UFV OURO 13,UFV VEREDA 9,UFV SKY ARINOS V,UFV MALHADA I,UFV MALHADA I,UFV MALHADA I,UFV MALHADA I,UFV MALHADA I
UFV OURO 14,UFV CASSILANDIA 1,UFV SKY ARINOS VI,UFV MALHADA III,UFV MALHADA III,UFV MALHADA III,UFV MALHADA III,UFV MALHADA III
UFV OURO 15,UFV CASSILANDIA 2,UFV SKY ARINOS VII,UFV MISSAGRA I,UFV MISSAGRA I,UFV MISSAGRA I,UFV MISSAGRA I,UFV MISSAGRA I
UFV OURO 16,UFV CASSILANDIA 3,UFV SKY ARINOS VIII,UFV MISSAGRA II,UFV MISSAGRA II,UFV MISSAGRA II,UFV MISSAGRA II,UFV MISSAGRA II
UFV OURO 17,UFV CASSILANDIA 4,UFV VARZEA DA PALMA IV,UFV MISSAGRA III,UFV MISSAGRA III,UFV MISSAGRA III,UFV MISSAGRA III,UFV MISSAGRA III
UFV OURO 18,UFV CASSILANDIA 5,UFV VARZEA DA PALMA IX,UFV MORADA DO SOL 1,UFV MORADA DO SOL 1,UFV MORADA DO SOL 1,UFV MORADA DO SOL 1,UFV MORADA DO SOL 1
UFV SKY SAO MAMEDE I,UFV CASSILANDIA 6,UFV VARZEA DA PALMA V,UFV MORADA DO SOL 2,UFV MORADA DO SOL 2,UFV MORADA DO SOL 2,UFV MORADA DO SOL 2,UFV MORADA DO SOL 2
UFV SKY SAO MAMEDE II,UFV AURORA 54,UFV VARZEA DA PALMA VI,UFV MORADA DO SOL 3,UFV MORADA DO SOL 3,UFV MORADA DO SOL 3,UFV MORADA DO SOL 3,UFV MORADA DO SOL 3
UFV SKY SAO MAMEDE III,UFV AURORA 55,UFV VARZEA DA PALMA VII,UFV MORADA DO SOL 4,UFV MORADA DO SOL 4,UFV MORADA DO SOL 4,UFV MORADA DO SOL 4,UFV MORADA DO SOL 4
UFV SKY SAO MAMEDE IV,UFV AURORA 56,UFV VARZEA DA PALMA VIII,UFV MORADA DO SOL 5,UFV MORADA DO SOL 5,UFV MORADA DO SOL 5,UFV MORADA DO SOL 5,UFV MORADA DO SOL 5
UFV SKY SAO MAMEDE V,UFV AURORA 57,EOL VENTOS DE SANTA MARCELLA 01,UFV MORADA DO SOL 6,UFV MORADA DO SOL 6,UFV MORADA DO SOL 6,UFV MORADA DO SOL 6,UFV MORADA DO SOL 6
UFV SKY SAO MAMEDE VI,UFV AURORA 58,EOL VENTOS DE SANTA MARCELLA 02,UFV MORRO PRETO 1,UFV MORRO PRETO 1,UFV MORRO PRETO 1,UFV MORRO PRETO 1,UFV MORRO PRETO 1
UFV SKY SAO MAMEDE VII,UFV AURORA 59,EOL VENTOS DE SANTA MARCELLA 03,UFV MORRO PRETO 10,UFV MORRO PRETO 10,UFV MORRO PRETO 10,UFV MORRO PRETO 10,UFV MORRO PRETO 10
UFV SKY SAO MAMEDE VIII,UFV AURORA 60,EOL VENTOS DE SANTA MARCELLA 04,UFV MORRO PRETO 11,UFV MORRO PRETO 11,UFV MORRO PRETO 11,UFV MORRO PRETO 11,UFV MORRO PRETO 11
UFV SKY SAO MAMEDE IX,UFV AURORA 61,EOL VENTOS DE SANTA MARCELLA 05,UFV MORRO PRETO 12,UFV MORRO PRETO 12,UFV MORRO PRETO 12,UFV MORRO PRETO 12,UFV MORRO PRETO 12
UFV SKY SAO MAMEDE X,UFV AURORA 62,EOL VENTOS DE SANTA MARCELLA 06,UFV MORRO PRETO 13,UFV MORRO PRETO 13,UFV MORRO PRETO 13,UFV MORRO PRETO 13,UFV MORRO PRETO 13
UFV SERRA DO MEL VIII,UFV AURORA 63,UFV VEREDA 1,UFV MORRO PRETO 14,UFV MORRO PRETO 14,UFV MORRO PRETO 14,UFV MORRO PRETO 14,UFV MORRO PRETO 14
UFV ALEGRE II,UFV SANTA LUZIA 10,UFV VEREDA 2,UFV MORRO PRETO 15,UFV MORRO PRETO 15,UFV MORRO PRETO 15,UFV MORRO PRETO 15,UFV MORRO PRETO 15
UFV ALEGRE I,UFV SANTA LUZIA 11,UFV VEREDA 3,UFV MORRO PRETO 16,UFV MORRO PRETO 16,UFV MORRO PRETO 16,UFV MORRO PRETO 16,UFV MORRO PRETO 16
UFV ALEGRE III,UFV SANTA LUZIA 12,UFV VEREDA 4,UFV MORRO PRETO 17,UFV MORRO PRETO 17,UFV MORRO PRETO 17,UFV MORRO PRETO 17,UFV MORRO PRETO 17
UFV ALEGRE IV,UFV SANTA LUZIA 13,UFV VEREDA 5,UFV MORRO PRETO 18,UFV MORRO PRETO 18,UFV MORRO PRETO 18,UFV MORRO PRETO 18,UFV MORRO PRETO 18
UFV ALEGRE V,UFV SANTA LUZIA 14,UFV VEREDA 6,UFV MORRO PRETO 19,UFV MORRO PRETO 19,UFV MORRO PRETO 19,UFV MORRO PRETO 19,UFV MORRO PRETO 19
UFV ALEGRE VI,UFV RAIOS DO PARNAIBA IV,UFV VEREDA 7,UFV MORRO PRETO 2,UFV MORRO PRETO 2,UFV MORRO PRETO 2,UFV MORRO PRETO 2,UFV MORRO PRETO 2
UFV ALEGRE VII,UFV RAIOS DO PARNAIBA X,UFV VEREDA 8,UFV MORRO PRETO 20,UFV MORRO PRETO 20,UFV MORRO PRETO 20,UFV MORRO PRETO 20,UFV MORRO PRETO 20
UFV BARRA DA ONCA I,UFV EMTEP 3,UFV VEREDA 9,UFV MORRO PRETO 21,UFV MORRO PRETO 21,UFV MORRO PRETO 21,UFV MORRO PRETO 21,UFV MORRO PRETO 21
UFV BARRA DA ONCA II,UFV SOBRAL I,UFV CASSILANDIA 1,UFV MORRO PRETO 22,UFV MORRO PRETO 22,UFV MORRO PRETO 22,UFV MORRO PRETO 22,UFV MORRO PRETO 22
UFV BARRA DA ONCA III,UFV RAIOS DO POETA I,UFV CASSILANDIA 2,UFV MORRO PRETO 23,UFV MORRO PRETO 23,UFV MORRO PRETO 23,UFV MORRO PRETO 23,UFV MORRO PRETO 23
UFV BARRA DA ONCA IV,UFV RAIOS DO POETA II,UFV CASSILANDIA 3,UFV MORRO PRETO 24,UFV MORRO PRETO 24,UFV MORRO PRETO 24,UFV MORRO PRETO 24,UFV MORRO PRETO 24
UFV BOCA DO RIACHO 1,UFV SOL DO SAO FRANCISCO,UFV CASSILANDIA 4,UFV MORRO PRETO 25,UFV MORRO PRETO 25,UFV MORRO PRETO 25,UFV MORRO PRETO 25,UFV MORRO PRETO 25
UFV BOCA DO RIACHO 11,UFV PARATINGA I,UFV CASSILANDIA 5,UFV MORRO PRETO 26,UFV MORRO PRETO 26,UFV MORRO PRETO 26,UFV MORRO PRETO 26,UFV MORRO PRETO 26
UFV BOCA DO RIACHO 12,UFV PARATINGA II,UFV CASSILANDIA 6,UFV MORRO PRETO 27,UFV MORRO PRETO 27,UFV MORRO PRETO 27,UFV MORRO PRETO 27,UFV MORRO PRETO 27
UFV BOCA DO RIACHO 13,UFV PARATINGA III,UFV AURORA 54,UFV MORRO PRETO 28,UFV MORRO PRETO 28,UFV MORRO PRETO 28,UFV MORRO PRETO 28,UFV MORRO PRETO 28
UFV BOCA DO RIACHO 14,UFV PARATINGA IV,UFV AURORA 55,UFV MORRO PRETO 29,UFV MORRO PRETO 29,UFV MORRO PRETO 29,UFV MORRO PRETO 29,UFV MORRO PRETO 29
UFV BOCA DO RIACHO 15,UFV AVENTURA SOLAR,UFV AURORA 56,UFV MORRO PRETO 3,UFV MORRO PRETO 3,UFV MORRO PRETO 3,UFV MORRO PRETO 3,UFV MORRO PRETO 3
UFV BOCA DO RIACHO 16,UFV MORADA DO SOL 1,UFV AURORA 57,UFV MORRO PRETO 30,UFV MORRO PRETO 30,UFV MORRO PRETO 30,UFV MORRO PRETO 30,UFV MORRO PRETO 30
UFV BOCA DO RIACHO 17,UFV MORADA DO SOL 2,UFV AURORA 58,UFV MORRO PRETO 31,UFV MORRO PRETO 31,UFV MORRO PRETO 31,UFV MORRO PRETO 31,UFV MORRO PRETO 31
UFV BOCA DO RIACHO 18,UFV MORADA DO SOL 3,UFV AURORA 59,UFV MORRO PRETO 32,UFV MORRO PRETO 32,UFV MORRO PRETO 32,UFV MORRO PRETO 32,UFV MORRO PRETO 32
UFV BOCA DO RIACHO 19,UFV MORADA DO SOL 4,UFV AURORA 60,UFV MORRO PRETO 33,UFV MORRO PRETO 33,UFV MORRO PRETO 33,UFV MORRO PRETO 33,UFV MORRO PRETO 33
UFV BOCA DO RIACHO 2,UFV MORADA DO SOL 5,UFV AURORA 61,UFV MORRO PRETO 34,UFV MORRO PRETO 34,UFV MORRO PRETO 34,UFV MORRO PRETO 34,UFV MORRO PRETO 34
UFV BOCA DO RIACHO 3,UFV MORADA DO SOL 6,UFV AURORA 62,UFV MORRO PRETO 35,UFV MORRO PRETO 35,UFV MORRO PRETO 35,UFV MORRO PRETO 35,UFV MORRO PRETO 35
UFV BOCA DO RIACHO 4,UFV OURO 1,UFV AURORA 63,UFV MORRO PRETO 36,UFV MORRO PRETO 36,UFV MORRO PRETO 36,UFV MORRO PRETO 36,UFV MORRO PRETO 36
UFV BOCA DO RIACHO 5,UFV OURO 2,UFV SANTA LUZIA 10,UFV MORRO PRETO 37,UFV MORRO PRETO 37,UFV MORRO PRETO 37,UFV MORRO PRETO 37,UFV MORRO PRETO 37
UFV BOCA DO RIACHO 6,UFV OURO 3,UFV SANTA LUZIA 11,UFV MORRO PRETO 38,UFV MORRO PRETO 38,UFV MORRO PRETO 38,UFV MORRO PRETO 38,UFV MORRO PRETO 38
UFV BOCA DO RIACHO 7,UFV OURO 4,UFV SANTA LUZIA 12,UFV MORRO PRETO 39,UFV MORRO PRETO 39,UFV MORRO PRETO 39,UFV MORRO PRETO 39,UFV MORRO PRETO 39
UFV BOCA DO RIACHO 8,UFV OURO 5,UFV SANTA LUZIA 13,UFV MORRO PRETO 4,UFV MORRO PRETO 4,UFV MORRO PRETO 4,UFV MORRO PRETO 4,UFV MORRO PRETO 4
UFV BOCA DO RIACHO 9,UFV OURO 6,UFV SANTA LUZIA 14,UFV MORRO PRETO 40,UFV MORRO PRETO 40,UFV MORRO PRETO 40,UFV MORRO PRETO 40,UFV MORRO PRETO 40
UFV CHATEAU FORT 1,UFV OURO 7,UFV RAIOS DO PARNAIBA IV,UFV MORRO PRETO 5,UFV MORRO PRETO 5,UFV MORRO PRETO 5,UFV MORRO PRETO 5,UFV MORRO PRETO 5
UFV CHATEAU FORT 10,UFV OURO 8,UFV RAIOS DO PARNAIBA X,UFV MORRO PRETO 6,UFV MORRO PRETO 6,UFV MORRO PRETO 6,UFV MORRO PRETO 6,UFV MORRO PRETO 6
UFV CHATEAU FORT 2,UFV OURO 9,UFV EMTEP 3,UFV MORRO PRETO 7,UFV MORRO PRETO 7,UFV MORRO PRETO 7,UFV MORRO PRETO 7,UFV MORRO PRETO 7
UFV CHATEAU FORT 3,UFV OURO 10,UFV SOBRAL I,UFV MORRO PRETO 8,UFV MORRO PRETO 8,UFV MORRO PRETO 8,UFV MORRO PRETO 8,UFV MORRO PRETO 8
UFV CHATEAU FORT 4,UFV OURO 11,UFV RAIOS DO POETA I,UFV MORRO PRETO 9,UFV MORRO PRETO 9,UFV MORRO PRETO 9,UFV MORRO PRETO 9,UFV MORRO PRETO 9
UFV CHATEAU FORT 5,UFV OURO 12,UFV RAIOS DO POETA II,UFV MURION 1,UFV MURION 1,UFV MURION 1,UFV MURION 1,UFV MURION 1
UFV CHATEAU FORT 6,UFV OURO 13,UFV SOL DO SAO FRANCISCO,UFV MURION 2,UFV MURION 2,UFV MURION 2,UFV MURION 2,UFV MURION 2
UFV CHATEAU FORT 7,UFV OURO 14,UFV PARATINGA I,UFV MURION 3,UFV MURION 3,UFV MURION 3,UFV MURION 3,UFV MURION 3
UFV CHATEAU FORT 8,UFV OURO 15,UFV PARATINGA II,UFV MURION 4,UFV MURION 4,UFV MURION 4,UFV MURION 4,UFV MURION 4
UFV CHATEAU FORT 9,UFV OURO 16,UFV PARATINGA III,UFV MURION 5,UFV MURION 5,UFV MURION 5,UFV MURION 5,UFV MURION 5
UFV CURRALINHO I,UFV OURO 17,UFV PARATINGA IV,UFV MURION 6,UFV MURION 6,UFV MURION 6,UFV MURION 6,UFV MURION 6
UFV CURRALINHO II,UFV OURO 18,UFV AVENTURA SOLAR,UFV MURION 7,UFV MURION 7,UFV MURION 7,UFV MURION 7,UFV MURION 7
UFV FOTONS DE SAO MAGNO 01,UFV SKY SAO MAMEDE I,UFV MORADA DO SOL 1,UFV MURION 8,UFV MURION 8,UFV MURION 8,UFV MURION 8,UFV MURION 8
UFV FOTONS DE SAO MAGNO 02,UFV SKY SAO MAMEDE II,UFV MORADA DO SOL 2,UFV NELORE 1,UFV NELORE 1,UFV NELORE 1,UFV NELORE 1,UFV NELORE 1
UFV FOTONS DE SAO MAGNO 03,UFV SKY SAO MAMEDE III,UFV MORADA DO SOL 3,UFV NELORE 2,UFV NELORE 2,UFV NELORE 2,UFV NELORE 2,UFV NELORE 2
UFV FOTONS DE SAO MAGNO 04,UFV SKY SAO MAMEDE IV,UFV MORADA DO SOL 4,UFV NELORE 3,UFV NELORE 3,UFV NELORE 3,UFV NELORE 3,UFV NELORE 3
UFV FOTONS DE SAO MAGNO 05,UFV SKY SAO MAMEDE V,UFV MORADA DO SOL 5,UFV NELORE 4,UFV NELORE 4,UFV NELORE 4,UFV NELORE 4,UFV NELORE 4
UFV FOTONS DE SAO MAGNO 06,UFV SKY SAO MAMEDE VI,UFV MORADA DO SOL 6,UFV NELORE 5,UFV NELORE 5,UFV NELORE 5,UFV NELORE 5,UFV NELORE 5
UFV FOTONS DE SAO MAGNO 07,UFV SKY SAO MAMEDE VII,UFV OURO 1,UFV NOVA ESPERANCA 1,UFV NOVA ESPERANCA 1,UFV NOVA ESPERANCA 1,UFV NOVA ESPERANCA 1,UFV NOVA ESPERANCA 1
UFV FOTONS DE SAO MAGNO 08,UFV SKY SAO MAMEDE VIII,UFV OURO 2,UFV NOVA ESPERANCA 2,UFV NOVA ESPERANCA 2,UFV NOVA ESPERANCA 2,UFV NOVA ESPERANCA 2,UFV NOVA ESPERANCA 2
UFV FUTURO II,UFV SKY SAO MAMEDE IX,UFV OURO 3,UFV NOVA ESPERANCA 3,UFV NOVA ESPERANCA 3,UFV NOVA ESPERANCA 3,UFV NOVA ESPERANCA 3,UFV NOVA ESPERANCA 3
UFV FUTURO III,UFV SKY SAO MAMEDE X,UFV OURO 4,UFV NOVA SERGIPE 1,UFV NOVA SERGIPE 1,UFV NOVA SERGIPE 1,UFV NOVA SERGIPE 1,UFV NOVA SERGIPE 1
UFV FUTURO IV,UFV SERRA DO MEL VIII,UFV OURO 5,UFV NOVA SERGIPE 2,UFV NOVA SERGIPE 2,UFV NOVA SERGIPE 2,UFV NOVA SERGIPE 2,UFV NOVA SERGIPE 2
UFV FUTURO V,UFV ALEGRE II,UFV OURO 6,UFV NOVA SERGIPE 3,UFV NOVA SERGIPE 3,UFV NOVA SERGIPE 3,UFV NOVA SERGIPE 3,UFV NOVA SERGIPE 3
UFV GOLD SOLAR,UFV ALEGRE I,UFV OURO 7,UFV NOVA SERGIPE 4,UFV NOVA SERGIPE 4,UFV NOVA SERGIPE 4,UFV NOVA SERGIPE 4,UFV NOVA SERGIPE 4
UFV MALHADA I,UFV ALEGRE III,UFV OURO 8,UFV NOVA SERGIPE 5,UFV NOVA SERGIPE 5,UFV NOVA SERGIPE 5,UFV NOVA SERGIPE 5,UFV NOVA SERGIPE 5
UFV MALHADA III,UFV ALEGRE IV,UFV OURO 9,UFV NOVA SERGIPE 6,UFV NOVA SERGIPE 6,UFV NOVA SERGIPE 6,UFV NOVA SERGIPE 6,UFV NOVA SERGIPE 6
UFV NOVA SERGIPE 1,UFV ALEGRE V,UFV OURO 10,UFV NOVA SERGIPE 7,UFV NOVA SERGIPE 7,UFV NOVA SERGIPE 7,UFV NOVA SERGIPE 7,UFV NOVA SERGIPE 7
UFV NOVA SERGIPE 2,UFV ALEGRE VI,UFV OURO 11,UFV NOVA SERGIPE 8,UFV NOVA SERGIPE 8,UFV NOVA SERGIPE 8,UFV NOVA SERGIPE 8,UFV NOVA SERGIPE 8
UFV NOVA SERGIPE 3,UFV ALEGRE VII,UFV OURO 12,UFV NOVO LAPA MP 1,UFV NOVO LAPA MP 1,UFV NOVO LAPA MP 1,UFV NOVO LAPA MP 1,UFV NOVO LAPA MP 1
UFV NOVA SERGIPE 4,UFV BARRA DA ONCA I,UFV OURO 13,UFV NOVO LAPA MP 2,UFV NOVO LAPA MP 2,UFV NOVO LAPA MP 2,UFV NOVO LAPA MP 2,UFV NOVO LAPA MP 2
UFV NOVA SERGIPE 5,UFV BARRA DA ONCA II,UFV OURO 14,UFV NOVO LAPA MP 3,UFV NOVO LAPA MP 3,UFV NOVO LAPA MP 3,UFV NOVO LAPA MP 3,UFV NOVO LAPA MP 3
UFV NOVA SERGIPE 6,UFV BARRA DA ONCA III,UFV OURO 15,UFV NOVO LAPA MP 4,UFV NOVO LAPA MP 4,UFV NOVO LAPA MP 4,UFV NOVO LAPA MP 4,UFV NOVO LAPA MP 4
UFV NOVA SERGIPE 7,UFV BARRA DA ONCA IV,UFV OURO 16,UFV NOVO LAPA MP 5,UFV NOVO LAPA MP 5,UFV NOVO LAPA MP 5,UFV NOVO LAPA MP 5,UFV NOVO LAPA MP 5
UFV NOVA SERGIPE 8,UFV BOCA DO RIACHO 1,UFV OURO 17,UFV NOVO LAPA MP 6,UFV NOVO LAPA MP 6,UFV NOVO LAPA MP 6,UFV NOVO LAPA MP 6,UFV NOVO LAPA MP 6
UFV NOVO LAPA MP 1,UFV BOCA DO RIACHO 11,UFV OURO 18,UFV NOVO LAPA MP 7,UFV NOVO LAPA MP 7,UFV NOVO LAPA MP 7,UFV NOVO LAPA MP 7,UFV NOVO LAPA MP 7
UFV NOVO LAPA MP 2,UFV BOCA DO RIACHO 12,UFV SKY SAO MAMEDE I,UFV NOVO LAPA MP 8,UFV NOVO LAPA MP 8,UFV NOVO LAPA MP 8,UFV NOVO LAPA MP 8,UFV NOVO LAPA MP 8
UFV NOVO LAPA MP 3,UFV BOCA DO RIACHO 13,UFV SKY SAO MAMEDE II,UFV ORQUIDEA I,UFV ORQUIDEA I,UFV ORQUIDEA I,UFV ORQUIDEA I,UFV ORQUIDEA I
UFV NOVO LAPA MP 4,UFV BOCA DO RIACHO 14,UFV SKY SAO MAMEDE III,UFV ORQUIDEA II,UFV ORQUIDEA II,UFV ORQUIDEA II,UFV ORQUIDEA II,UFV ORQUIDEA II
UFV NOVO LAPA MP 5,UFV BOCA DO RIACHO 15,UFV SKY SAO MAMEDE IV,UFV ORQUIDEA III,UFV ORQUIDEA III,UFV ORQUIDEA III,UFV ORQUIDEA III,UFV ORQUIDEA III
UFV NOVO LAPA MP 6,UFV BOCA DO RIACHO 16,UFV SKY SAO MAMEDE V,UFV ORQUIDEA IV,UFV ORQUIDEA IV,UFV ORQUIDEA IV,UFV ORQUIDEA IV,UFV ORQUIDEA IV
UFV NOVO LAPA MP 7,UFV BOCA DO RIACHO 17,UFV SKY SAO MAMEDE VI,UFV ORQUIDEA V,UFV ORQUIDEA V,UFV ORQUIDEA V,UFV ORQUIDEA V,UFV ORQUIDEA V
UFV NOVO LAPA MP 8,UFV BOCA DO RIACHO 18,UFV SKY SAO MAMEDE VII,UFV ORQUIDEA VI,UFV ORQUIDEA VI,UFV ORQUIDEA VI,UFV ORQUIDEA VI,UFV ORQUIDEA VI
UFV SAO JOAO DO PIAUI I,UFV BOCA DO RIACHO 19,UFV SKY SAO MAMEDE VIII,UFV OURO 1,UFV OURO 1,UFV OURO 1,UFV OURO 1,UFV OURO 1
UFV SAO JOAO DO PIAUI II,UFV BOCA DO RIACHO 2,UFV SKY SAO MAMEDE IX,UFV OURO 10,UFV OURO 10,UFV OURO 10,UFV OURO 10,UFV OURO 10
UFV SAO JOAO DO PIAUI III,UFV BOCA DO RIACHO 3,UFV SKY SAO MAMEDE X,UFV OURO 11,UFV OURO 11,UFV OURO 11,UFV OURO 11,UFV OURO 11
UFV VEA II 1,UFV BOCA DO RIACHO 4,UFV SERRA DO MEL VIII,UFV OURO 12,UFV OURO 12,UFV OURO 12,UFV OURO 12,UFV OURO 12
UFV VEA II 2,UFV BOCA DO RIACHO 5,UFV ALEGRE II,UFV OURO 13,UFV OURO 13,UFV OURO 13,UFV OURO 13,UFV OURO 13
UFV VEA II 3,UFV BOCA DO RIACHO 6,UFV ALEGRE I,UFV OURO 14,UFV OURO 14,UFV OURO 14,UFV OURO 14,UFV OURO 14
UFV VEA II 4,UFV BOCA DO RIACHO 7,UFV ALEGRE III,UFV OURO 15,UFV OURO 15,UFV OURO 15,UFV OURO 15,UFV OURO 15
UFV VEA II 5,UFV BOCA DO RIACHO 8,UFV ALEGRE IV,UFV OURO 16,UFV OURO 16,UFV OURO 16,UFV OURO 16,UFV OURO 16
UFV VEA II 6,UFV BOCA DO RIACHO 9,UFV ALEGRE V,UFV OURO 17,UFV OURO 17,UFV OURO 17,UFV OURO 17,UFV OURO 17
UFV VEA II 7,UFV CHATEAU FORT 1,UFV ALEGRE VI,UFV OURO 18,UFV OURO 18,UFV OURO 18,UFV OURO 18,UFV OURO 18
UFV VEA II 8,UFV CHATEAU FORT 10,UFV ALEGRE VII,UFV OURO 2,UFV OURO 2,UFV OURO 2,UFV OURO 2,UFV OURO 2
UFV VEA II 9,UFV CHATEAU FORT 2,UFV BARRA DA ONCA I,UFV OURO 3,UFV OURO 3,UFV OURO 3,UFV OURO 3,UFV OURO 3
UFV VEA II 10,UFV CHATEAU FORT 3,UFV BARRA DA ONCA II,UFV OURO 4,UFV OURO 4,UFV OURO 4,UFV OURO 4,UFV OURO 4
UFV VEA II 11,UFV CHATEAU FORT 4,UFV BARRA DA ONCA III,UFV OURO 5,UFV OURO 5,UFV OURO 5,UFV OURO 5,UFV OURO 5
UFV QUIXADA 1,UFV CHATEAU FORT 5,UFV BARRA DA ONCA IV,UFV OURO 6,UFV OURO 6,UFV OURO 6,UFV OURO 6,UFV OURO 6
UFV QUIXADA 2,UFV CHATEAU FORT 6,UFV BOCA DO RIACHO 1,UFV OURO 7,UFV OURO 7,UFV OURO 7,UFV OURO 7,UFV OURO 7
UFV SOL DO AGRESTE I,UFV CHATEAU FORT 7,UFV BOCA DO RIACHO 11,UFV OURO 8,UFV OURO 8,UFV OURO 8,UFV OURO 8,UFV OURO 8
UFV SOL DO AGRESTE II,UFV CHATEAU FORT 8,UFV BOCA DO RIACHO 12,UFV OURO 9,UFV OURO 9,UFV OURO 9,UFV OURO 9,UFV OURO 9
UFV SOL DE JANA 1,UFV CHATEAU FORT 9,UFV BOCA DO RIACHO 13,UFV PARANAIBA 1,UFV PARANAIBA 1,UFV PARANAIBA 1,UFV PARANAIBA 1,UFV PARANAIBA 1
UFV SOL DE JANA 10,UFV CURRALINHO I,UFV BOCA DO RIACHO 14,UFV PARANAIBA 10,UFV PARANAIBA 10,UFV PARANAIBA 10,UFV PARANAIBA 10,UFV PARANAIBA 10
UFV SOL DE JANA 11,UFV CURRALINHO II,UFV BOCA DO RIACHO 15,UFV PARANAIBA 11,UFV PARANAIBA 11,UFV PARANAIBA 11,UFV PARANAIBA 11,UFV PARANAIBA 11
UFV SOL DE JANA 12,UFV FOTONS DE SAO MAGNO 01,UFV BOCA DO RIACHO 16,UFV PARANAIBA 2,UFV PARANAIBA 2,UFV PARANAIBA 2,UFV PARANAIBA 2,UFV PARANAIBA 2
UFV SOL DE JANA 13,UFV FOTONS DE SAO MAGNO 02,UFV BOCA DO RIACHO 17,UFV PARANAIBA 3,UFV PARANAIBA 3,UFV PARANAIBA 3,UFV PARANAIBA 3,UFV PARANAIBA 3
UFV SOL DE JANA 2,UFV FOTONS DE SAO MAGNO 03,UFV BOCA DO RIACHO 18,UFV PARANAIBA 4,UFV PARANAIBA 4,UFV PARANAIBA 4,UFV PARANAIBA 4,UFV PARANAIBA 4
UFV SOL DE JANA 3,UFV FOTONS DE SAO MAGNO 04,UFV BOCA DO RIACHO 19,UFV PARANAIBA 5,UFV PARANAIBA 5,UFV PARANAIBA 5,UFV PARANAIBA 5,UFV PARANAIBA 5
UFV SOL DE JANA 4,UFV FOTONS DE SAO MAGNO 05,UFV BOCA DO RIACHO 2,UFV PARANAIBA 6,UFV PARANAIBA 6,UFV PARANAIBA 6,UFV PARANAIBA 6,UFV PARANAIBA 6
UFV SOL DE JANA 5,UFV FOTONS DE SAO MAGNO 06,UFV BOCA DO RIACHO 3,UFV PARANAIBA 7,UFV PARANAIBA 7,UFV PARANAIBA 7,UFV PARANAIBA 7,UFV PARANAIBA 7
UFV SOL DE JANA 6,UFV FOTONS DE SAO MAGNO 07,UFV BOCA DO RIACHO 4,UFV PARANAIBA 8,UFV PARANAIBA 8,UFV PARANAIBA 8,UFV PARANAIBA 8,UFV PARANAIBA 8
UFV SOL DE JANA 7,UFV FOTONS DE SAO MAGNO 08,UFV BOCA DO RIACHO 5,UFV PARANAIBA 9,UFV PARANAIBA 9,UFV PARANAIBA 9,UFV PARANAIBA 9,UFV PARANAIBA 9
UFV SOL DE JANA 8,UFV FUTURO II,UFV BOCA DO RIACHO 6,UFV PARATINGA I,UFV PARATINGA I,UFV PARATINGA I,UFV PARATINGA I,UFV PARATINGA I
