2024,2025,2026,2027,2028,2029,2030,2031
UFV LUZEIRO 5,UFV LUZEIRO 5,UFV LUZEIRO 5,UFV ACUCENA 4,UFV ACUCENA 4,UFV ACUCENA 4,UFV ACUCENA 4,UFV ACUCENA 4
UFV LUZEIRO 6,UFV LUZEIRO 6,UFV LUZEIRO 6,UFV ACUCENA 5,UFV ACUCENA 5,UFV ACUCENA 5,UFV ACUCENA 5,UFV ACUCENA 5
UFV CASCUDO 1,UFV ACUCENA 1,UFV ACUCENA 1,UFV ACUCENA 6,UFV ACUCENA 6,UFV ACUCENA 6,UFV ACUCENA 6,UFV ACUCENA 6
UFV CASCUDO 2,UFV ACUCENA 2,UFV ACUCENA 2,UFV ACUCENA 7,UFV ACUCENA 7,UFV ACUCENA 7,UFV ACUCENA 7,UFV ACUCENA 7
UFV CASCUDO 3,UFV ACUCENA 3,UFV ACUCENA 3,UFV ACUCENA 8,UFV ACUCENA 8,UFV ACUCENA 8,UFV ACUCENA 8,UFV ACUCENA 8
UFV CASCUDO 4,UFV ACUCENA 4,UFV ACUCENA 4,UFV ALEGRE I,UFV ALEGRE I,UFV ALEGRE I,UFV ALEGRE I,UFV ALEGRE I
UFV CASCUDO 5,UFV ACUCENA 5,UFV ACUCENA 5,UFV ALEGRE II,UFV ALEGRE II,UFV ALEGRE II,UFV ALEGRE II,UFV ALEGRE II
UFV CASCUDO 6,UFV ACUCENA 6,UFV ACUCENA 6,UFV ALEGRE III,UFV ALEGRE III,UFV ALEGRE III,UFV ALEGRE III,UFV ALEGRE III
UFV CASCUDO 7,UFV ACUCENA 7,UFV ACUCENA 7,UFV ALEGRE IV,UFV ALEGRE IV,UFV ALEGRE IV,UFV ALEGRE IV,UFV ALEGRE IV
EOL ITAUNA I,UFV ACUCENA 8,UFV ACUCENA 8,UFV ALEGRE V,UFV ALEGRE V,UFV ALEGRE V,UFV ALEGRE V,UFV ALEGRE V
EOL ITAUNA II,EOL BOA ESPERANCA II,EOL BOA ESPERANCA II,UFV ALEGRE VI,UFV ALEGRE VI,UFV ALEGRE VI,UFV ALEGRE VI,UFV ALEGRE VI
EOL ITAUNA III,UFV CASCUDO 1,UFV CASCUDO 1,UFV ALEGRE VII,UFV ALEGRE VII,UFV ALEGRE VII,UFV ALEGRE VII,UFV ALEGRE VII
EOL SAO DOMINGOS I,UFV CASCUDO 2,UFV CASCUDO 2,UFV ARAPUA 5,UFV ARAPUA 5,UFV ARAPUA 5,UFV ARAPUA 5,UFV ARAPUA 5
EOL SAO DOMINGOS II,UFV CASCUDO 3,UFV CASCUDO 3,UFV ARAPUA 6,UFV ARAPUA 6,UFV ARAPUA 6,UFV ARAPUA 6,UFV ARAPUA 6
EOL SAO DOMINGOS III,UFV CASCUDO 4,UFV CASCUDO 4,UFV ARAPUA 7,UFV ARAPUA 7,UFV ARAPUA 7,UFV ARAPUA 7,UFV ARAPUA 7
