USINA,SUBSISTEMA,CEG,2023,2024,2025,2026,2027,2028,2029,2030,2031,MUST,BUS_2023,BUS_2030
EOL ANEMUS WIND 1,NE,034498-2,10.97,10.027,10.188,10.418,10.917,10.981,11.361,11.238,11.254,37.8,5262,57701
EOL ANEMUS WIND 2,NE,034499-0,10.97,10.027,10.188,10.418,10.917,10.981,11.361,11.238,11.254,46.2,5262,57701
EOL ANEMUS WIND 3,NE,051067-0,10.97,10.027,10.188,10.418,10.917,10.981,11.361,11.238,11.254,54.6,5262,57701
EOL ANGELIM,NE,032091-9,10.165,10.561,10.326,10.674,11.359,11.417,11.835,11.619,11.636,21.06,6220,59469
EOL ANGICAL,NE,030732-7,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,12.82,6225,59396
EOL ANGICAL 2,NE,031435-8,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,9.76,6225,59374
EOL ANGICO,NE,031404-8,10.456,10.787,10.559,10.907,11.406,11.465,11.885,11.671,11.688,7.9,6221,59350
EOL ANGICOS I,NE,035165-2,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,24.71,5461,56776
EOL ANGICOS II,NE,035166-0,10.878,9.942,10.1,10.325,11.542,11.618,12.008,11.89,11.908,28.83,5461,56777
EOL APELIOTES(RIACHAO VI),NE,030872-2,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,29.03,6131,57478
EOL AQUIBATA,,029052-1,-,-,-,-,-,-,-,-,-,30.0,2732,50311
EOL ARAPAPA,NE,031434-0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,3.9,6225,59375
EOL ARARINHA AZUL,NE,037001-0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,20.77,6225,11595
EOL ARATUA 1,,030121-3,-,-,-,-,-,-,-,-,-,14.4,-,56467
EOL ARENA (RIACHAO VII),NE,030873-0,10.042,9.038,9.035,9.251,10.241,10.293,10.669,10.539,10.554,29.08,6131,57479
EOL ARIZONA 1,,030622-3,-,-,-,-,-,-,-,-,-,28.0,-,57473
EOL AROEIRA,NE,031801-9,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56659
EOL AROEIRA 1,NE,044940-7,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,46.5,6070,11561
EOL AROEIRA 2,NE,044947-4,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,42.3,6070,11561
EOL AROEIRA 3,NE,044948-2,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,42.3,6070,11561
EOL AROEIRA 4,NE,044949-0,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,42.3,6070,11561
EOL AROEIRA 5,NE,044950-4,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,42.3,6070,11561
EOL AROEIRA 6,NE,044951-2,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,38.0,6070,11561
EOL AROEIRA 7,NE,044952-0,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,46.5,6070,11561
EOL AROEIRA 8,NE,8044953-9,10.81,10.428,10.283,10.536,10.993,11.039,11.445,11.275,11.292,42.3,6070,11561
EOL ASA BRANCA I,NE,030505-7,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,26.5,6140,56636
EOL ASA BRANCA II,NE,030547-2,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,25.8,6140,56600
EOL ASA BRANCA III,NE,030548-0,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,26.5,6140,56601
EOL ASA BRANCA IV,NE,030498-0,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56602
EOL ASA BRANCA V,NE,030507-3,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56603
EOL ASA BRANCA VI,NE,030520-0,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56604
EOL ASA BRANCA VII,NE,030513-8,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56649
EOL ASA BRANCA VIII,NE,030508-1,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56605
EOL ASSURUA 4 I,NE,050463-7,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,35.1,6061,59050
EOL ASSURUA 4 II,NE,050464-5,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,30.71,6061,59050
EOL ASSURUA 4 III,NE,050465-3,11.069,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,35.1,6061,59050
