USINA,SUBSISTEMA,CEG,2023,2024,2025,2026,2027,2028,2029,2030,2031,MUST,BUS_2023,BUS_2030
EOL SERRA DA BORBOREMA V,NE,3044992-0,-,8.548,8.499,8.709,9.969,10.022,10.394,10.266,10.281,35.94,-,12244
EOL SERRA DA MANGABEIRA,NE,044878-8,10.785,10.735,10.586,10.885,11.485,11.536,11.952,11.786,11.803,79.02,6060,59200
EOL SERRA DA PALMEIRA I,NE,2049818-1,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,36.0,-,544
EOL SERRA DA PALMEIRA II,NE,1049819-0,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,30.0,-,544
EOL SERRA DA PALMEIRA III,NE,1049820-3,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA IV,NE,3049821-1,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,30.0,-,544
EOL SERRA DA PALMEIRA IX,NE,1049826-2,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA V,NE,1049822-0,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,36.0,-,544
EOL SERRA DA PALMEIRA VI,NE,4049823-8,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA VII,NE,4049824-6,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,30.0,-,544
EOL SERRA DA PALMEIRA VIII,NE,2049825-4,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA X,NE,2049827-0,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,30.0,-,544
EOL SERRA DA PALMEIRA XI,NE,0049828-9,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA XII,NE,9049829-7,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA XIII,NE,5049830-0,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,42.0,-,544
EOL SERRA DA PALMEIRA XIV,NE,2049831-9,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA XIX,NE,6049836-0,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,30.0,-,544
EOL SERRA DA PALMEIRA XV,NE,0049832-7,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,36.0,-,544
EOL SERRA DA PALMEIRA XVI,NE,9049833-5,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA XVII,NE,1049834-3,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,30.0,-,544
EOL SERRA DA PALMEIRA XVIII,NE,0049835-1,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,18.0,-,544
EOL SERRA DA PALMEIRA XX,NE,6049837-8,-,9.129,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA XXI,NE,049838-6,-,-,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA XXII,NE,8049839-4,-,-,9.109,9.326,10.348,10.408,10.8,10.672,10.688,24.0,-,544
EOL SERRA DA PALMEIRA XXIII,NE,8049840-8,-,-,9.109,9.326,10.348,10.408,10.8,10.672,10.688,36.0,-,544
EOL SERRA DAS ALMAS I,SE,034778-7,-,10.636,10.384,10.754,11.255,11.31,11.722,11.505,11.522,45.6,-,38940
EOL SERRA DAS ALMAS II,SE,034779-5,-,10.636,10.384,10.754,11.255,11.31,11.722,11.505,11.522,45.6,-,38940
EOL SERRA DAS ALMAS III,SE,034780-9,-,10.636,10.384,10.754,11.255,11.31,11.722,11.505,11.522,45.6,-,38940
EOL SERRA DAS ALMAS IV,SE,037084-3,-,10.636,10.384,10.754,11.255,11.31,11.722,11.505,11.522,39.9,-,38940
EOL SERRA DAS ALMAS V,SE,037086-0,-,10.636,10.384,10.754,11.255,11.31,11.722,11.505,11.522,39.9,-,38940
EOL SERRA DAS ALMAS VI,SE,034781-7,-,10.636,10.384,10.754,11.255,11.31,11.722,11.505,11.522,45.6,-,38940
EOL SERRA DAS VACAS B,NE,9049354-6,9.357,8.262,8.137,8.339,9.764,9.818,10.189,10.056,10.071,40.5,5091,58055
EOL SERRA DAS VACAS I,NE,031537-0,9.357,8.262,8.137,8.339,9.764,9.818,10.189,10.056,10.071,23.4,5091,58009
EOL SERRA DAS VACAS II,NE,031540-0,9.357,8.262,8.137,8.339,9.764,9.818,10.189,10.056,10.071,21.8,5091,58010
EOL SERRA DAS VACAS III,NE,031560-5,9.357,8.262,8.137,8.339,9.764,9.818,10.189,10.056,10.071,21.7,5091,58011
EOL SERRA DAS VACAS IV,NE,031574-5,9.357,8.262,8.137,8.339,9.764,9.818,10.189,10.056,10.071,21.8,5091,58012
EOL SERRA DAS VACAS V,NE,032360-8,9.357,8.262,8.137,8.339,9.764,9.818,10.189,10.056,10.071,25.3,5091,58029
EOL SERRA DAS VACAS VII,NE,032361-6,9.357,8.262,8.137,8.339,9.764,9.818,10.189,10.056,10.071,25.3,5091,58030
EOL SERRA DE SANTANA I,NE,030625-8,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,19.9,5071,57712
EOL SERRA DE SANTANA II,NE,030609-6,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.1,5071,57713
EOL SERRA DE SANTANA III,NE,030615-0,10.986,10.064,10.232,10.463,10.917,10.981,11.361,11.238,11.254,29.8,5071,57714
EOL SERRA DO ASSURUA I,NE,049371-6,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,48.0,-,59050
EOL SERRA DO ASSURUA II,NE,049372-4,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,24.0,-,59050
EOL SERRA DO ASSURUA III,NE,049373-2,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA IV,NE,049374-0,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,36.0,-,59050
EOL SERRA DO ASSURUA IX,NE,049379-1,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA V,NE,049375-9,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,36.0,-,59050
EOL SERRA DO ASSURUA VI,NE,049376-7,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,36.0,-,59050
EOL SERRA DO ASSURUA VII,NE,049377-5,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,30.0,-,59050
EOL SERRA DO ASSURUA VIII,NE,049378-3,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,24.0,-,59050
EOL SERRA DO ASSURUA X,NE,049380-5,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XI,NE,049381-3,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XII,NE,049382-1,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,30.0,-,59050
EOL SERRA DO ASSURUA XIII,NE,049383-0,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,36.0,-,59050
EOL SERRA DO ASSURUA XIV,NE,049387-2,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,30.0,-,59050
EOL SERRA DO ASSURUA XIX,NE,049392-9,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XV,NE,049388-0,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,36.0,-,59050
EOL SERRA DO ASSURUA XVI,NE,049389-9,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XVII,NE,049390-2,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XVIII,NE,049391-0,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XX,NE,049393-7,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XXI,NE,049394-5,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,42.0,-,59050
EOL SERRA DO ASSURUA XXII,NE,049395-3,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,30.0,-,59050
EOL SERRA DO ASSURUA XXIII,NE,049396-1,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,36.0,-,59050
EOL SERRA DO ASSURUA XXIV,NE,049397-0,-,11.194,11.032,11.336,11.798,11.855,12.287,12.123,12.14,30.0,-,59050
EOL SERRA DO ESPINHACO,NE,030802-1,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,18.48,6225,59366
EOL SERRA DO FOGO,NE,035222-5,10.86,10.119,10.019,10.245,11.02,11.057,11.486,11.351,11.367,30.69,6300,56753
EOL SERRA DO MATO I,NE,032375-6,10.282,9.402,9.698,9.924,10.659,10.813,11.209,11.073,11.09,20.25,5371,58318
EOL SERRA DO MATO II,NE,032376-4,10.282,9.402,9.698,9.924,10.659,10.813,11.209,11.073,11.09,20.25,5371,58319
EOL SERRA DO MATO III,NE,032377-2,10.282,9.402,9.698,9.924,10.659,10.813,11.209,11.073,11.09,20.25,5371,58320
EOL SERRA DO MATO IV,NE,032378-0,10.282,9.402,9.698,9.924,10.659,10.813,11.209,11.073,11.09,20.25,5371,58321
EOL SERRA DO MATO V,NE,032453-1,10.282,9.402,9.698,9.924,10.659,10.813,11.209,11.073,11.09,20.25,5371,58322
EOL SERRA DO MATO VI,NE,032379-9,10.282,9.402,9.698,9.924,10.659,10.813,11.209,11.073,11.09,16.2,5371,58323
EOL SERRA DO SALTO,NE,030314-3,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,20.16,6171,59332
EOL SERRA DO SERIDO F1,NE,,-,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,242.0,-,11500
EOL SERRA DO SERIDO F2,NE,,-,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,237.8,-,11500
EOL SERRA DO SERIDO II,NE,035225-0,10.427,-,-,-,-,-,-,-,-,-,5926,-
EOL SERRA DO SERIDO III,NE,035226-8,10.427,-,-,-,-,-,-,-,-,-,5926,-
EOL SERRA DO SERIDO IV,NE,035227-6,10.427,-,-,-,-,-,-,-,-,-,5926,-
EOL SERRA DO SERIDO IX,NE,040613-9,10.427,-,-,-,-,-,-,-,-,-,5926,-
EOL SERRA DO SERIDO VI,NE,038304-0,10.427,-,-,-,-,-,-,-,-,-,5926,-
EOL SERRA DO SERIDO VII,NE,038305-8,10.427,-,-,-,-,-,-,-,-,-,5926,-
EOL SERRA DO VENTO,NE,035229-2,10.86,10.119,10.019,10.245,11.02,11.057,11.486,11.351,11.367,30.69,6300,56754
EOL SERRA VERDE I,NE,032539-2,-,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,29.9,-,11265
EOL SERRA VERDE II,NE,032540-6,-,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,23.0,-,11265
EOL SERRA VERDE III,NE,032541-4,-,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,23.0,-,11265
EOL SERRA VERDE IV,NE,032542-2,-,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,25.3,-,11265
EOL SERRA VERDE V,NE,032543-0,-,9.952,10.154,10.382,11.258,11.325,11.696,11.575,11.592,16.1,-,11265
EOL SERROTE I,NE,040878-6,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,24.31,5371,55811
EOL SERROTE II,NE,040879-4,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,24.31,5371,55812
EOL SERROTE III,NE,040880-8,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,20.25,5371,55750
EOL SERROTE IV,NE,040881-6,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,16.2,5371,55751
EOL SERROTE V,NE,040882-4,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,28.36,5371,55754
EOL SERROTE VI,NE,040883-2,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,28.36,5371,55755
EOL SERROTE VII,NE,040884-0,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,28.36,5371,55756
EOL SERROTE VIII,NE,040885-9,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,28.36,5371,55757
EOL SETE GAMELEIRAS,NE,030455-7,11.056,10.352,10.204,10.434,10.984,10.999,11.398,11.233,11.25,29.25,6301,58602
EOL SM,NE,030864-1,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,28.5,6140,56643
EOL TABOQUINHA,NE,031406-4,10.456,10.787,10.559,10.907,11.406,11.465,11.885,11.671,11.688,21.06,6221,59351
EOL TABUA,NE,031403-0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,14.63,6225,59356
EOL TACAICO,NE,030789-0,11.041,9.743,9.52,9.73,10.885,10.983,11.4,11.267,11.283,18.2,5378,58752
EOL TACAICO II,NE,044554-1,11.041,9.743,9.52,9.73,10.883,10.981,11.398,11.265,11.281,49.04,5378,58032
EOL TAIBA AGUIA,NE,028857-8,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,22.56,5371,55778
EOL TAIBA ALBATROZ,,028858-6,-,-,-,-,-,-,-,-,-,16.5,-,55782
EOL TAIBA ANDORINHA,NE,030373-9,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,14.32,5371,55779
EOL TAMANDUA MIRIM,NE,030753-0,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,29.3,6225,59394
EOL TAMANDUA MIRIM 2,NE,031606-7,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,15.59,6225,59388
EOL TANQUE,NE,030544-8,10.554,10.856,10.635,10.984,11.481,11.541,11.963,11.752,11.769,30.0,6171,59314
EOL TEIU,NE,030731-9,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,16.48,6225,59395
EOL TEIU 2,NE,031431-5,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,7.78,6225,59379
EOL TEIU 3,NE,037093-2,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,23.03,6225,59379
EOL TERRA SANTA I,NE,032495-7,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,59.9,6141,56756
EOL TERRA SANTA II,NE,032501-5,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,31.5,6141,56757
EOL TERRAL,NE,030898-6,10.794,9.892,10.078,10.306,10.956,11.012,11.385,11.258,11.274,30.0,5441,56252
EOL TESTA BRANCA I,,031666-0,-,-,-,-,-,-,-,-,-,22.0,98542,55220
EOL TESTA BRANCA III,,033479-0,-,-,-,-,-,-,-,-,-,22.0,98542,55805
EOL TODA ENERGIA DO BRASIL,NE,046742-1,10.68,9.883,9.981,10.21,11.258,11.325,11.696,11.575,11.592,27.72,5350,11265
EOL TRAIRI,NE,030662-2,10.282,9.402,9.698,9.924,10.469,10.49,10.861,10.752,10.767,24.7,5371,55788
EOL TUCANO II,NE,032567-8,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,24.18,5740,58035
EOL TUCANO III,NE,032568-6,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,42.32,5740,58036
EOL TUCANO IV,NE,032569-4,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,42.32,5740,58037
EOL TUCANO IX,NE,032583-0,-,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,45.6,-,58042
EOL TUCANO V,NE,032570-8,-,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,22.8,-,58038
EOL TUCANO VI,NE,032578-3,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,48.36,5740,58039
EOL TUCANO VII,NE,032579-1,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,54.4,5740,58040
EOL TUCANO VIII,NE,032580-5,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,48.36,5740,58041
EOL TUCANO X,NE,032584-8,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,42.32,5740,58043
EOL TUCANO XI,NE,036988-8,-,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,34.2,-,58044
EOL TUCANO XIII,NE,036994-2,-,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,39.9,-,58045
EOL TUCANO XVI,NE,036989-6,9.546,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,12.09,5740,58046
EOL TUCANO XVII,NE,040696-1,-,8.568,8.419,8.611,9.594,9.64,10.003,9.845,9.86,17.1,-,58047
EOL U.VENTOS 1(POTIGUAR),NE,030562-6,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,21.7,6141,56576
EOL U.VENTOS 10(P.NORDESTE),NE,030571-5,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,14.15,6141,56589
EOL U.VENTOS 2(T.DE PEDRAS),NE,030563-4,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,21.8,6141,56577
EOL U.VENTOS 3(P.V.LESTE),NE,030564-2,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,21.58,6141,56578
EOL U.VENTOS 4(T.S.MIGUEL),NE,030565-0,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,10.8,6141,56581
EOL U.VENTOS 5(M.DOS VENTOS),NE,030566-9,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,23.0,6141,56582
EOL U.VENTOS 6(C.DA ILHA),NE,030567-7,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,12.25,6141,56583
EOL U.VENTOS 7(C.POTIGUAR),NE,030568-5,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,14.0,6141,56584
EOL U.VENTOS 8(E.DOS VENTOS),NE,030569-3,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,14.2,6141,56587
EOL U.VENTOS 9(I.DOS VENTOS),NE,030570-7,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,11.0,6141,56588
EOL UBATUBA,NE,030918-4,10.135,9.313,9.541,9.766,10.825,10.871,11.25,11.119,11.136,12.1,5431,56062
EOL UMBURANA DE CHEIRO,NE,035233-0,10.86,10.119,10.019,10.245,11.02,11.057,11.486,11.351,11.367,30.69,6300,56752
EOL UMBURANAS 1,NE,031738-1,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,24.52,6071,58807
EOL UMBURANAS 10,NE,031742-0,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,19.62,6071,58808
EOL UMBURANAS 11,NE,031744-6,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,14.71,6071,58809
EOL UMBURANAS 13,NE,031752-7,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,19.62,6071,58811
EOL UMBURANAS 15,NE,031754-3,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,19.62,6071,58813
EOL UMBURANAS 16,NE,031755-1,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,24.52,6071,58814
EOL UMBURANAS 17,NE,033634-3,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,22.07,6071,58834
EOL UMBURANAS 18,NE,031756-0,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,7.36,6071,58815
EOL UMBURANAS 19,NE,033635-1,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,24.52,6071,58837
EOL UMBURANAS 2,NE,031740-3,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,24.52,6071,58816
EOL UMBURANAS 21,NE,033636-0,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,22.07,6071,58838
EOL UMBURANAS 23,NE,033637-8,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,14.71,6071,58839
EOL UMBURANAS 25,NE,033639-4,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,17.16,6071,58840
EOL UMBURANAS 3,NE,031741-1,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,19.62,6071,58817
EOL UMBURANAS 5,NE,031737-3,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,17.16,6071,58819
EOL UMBURANAS 6,NE,031796-9,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,19.62,6071,58820
EOL UMBURANAS 8,NE,031832-9,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,24.52,6071,58822
EOL UMBURANAS 9,NE,031743-8,11.203,10.745,10.582,10.838,11.172,11.221,11.635,11.466,11.483,17.16,6071,58823
EOL UMBUZEIRO,NE,032111-7,10.165,10.561,10.326,10.674,11.359,11.417,11.835,11.619,11.636,18.4,6220,59470
EOL UMBUZEIROS,NE,031826-4,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,30.0,6140,56661
EOL UNIAO DOS VENTOS 12,NE,031645-8,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,24.6,6141,56674
EOL UNIAO DOS VENTOS 13,NE,031697-0,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,18.45,6141,56675
EOL UNIAO DOS VENTOS 14,NE,031643-1,10.764,9.842,9.875,10.102,10.921,10.988,11.402,11.279,11.296,20.5,6141,56676
EOL UNIAO DOS VENTOS 15,NE,031642-3,10.764,9.842,9.875,10.102,11.0,11.069,11.487,11.366,11.382,30.0,6141,56679
EOL UNIAO DOS VENTOS 16,NE,031652-0,10.764,9.842,9.875,10.102,11.0,11.069,11.487,11.366,11.382,28.59,6141,56680
EOL V. DE SANTA FATIMA,NE,031273-8,11.421,10.739,10.689,10.937,11.464,11.412,11.841,11.71,11.727,28.7,6641,58268
EOL V. DE SANTA REGINA,NE,031276-2,11.421,10.739,10.689,10.937,11.464,11.412,11.841,11.71,11.727,28.7,6641,58269
EOL V. DE SANTO ADRIANO(COLIBRI),NE,031271-1,11.421,10.739,10.689,10.937,11.464,11.412,11.841,11.71,11.727,28.7,6641,58270
EOL V. DE SANTO ALBANO,NE,031272-0,11.421,10.739,10.689,10.937,11.464,11.412,11.841,11.71,11.727,28.7,6641,58271
EOL V. DE SANTO DIMAS,NE,031372-6,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,28.8,6140,56716
EOL V. DE SAO BENEDITO,NE,031373-4,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,28.8,6140,56717
EOL V. VILA MATO GROSSO I,NE,036984-5,10.68,9.883,9.981,10.21,11.271,11.337,11.764,11.643,11.66,58.9,5350,56284
EOL V.DE SAO MIGUEL,NE,030514-6,10.64,9.792,9.851,10.079,10.828,10.892,11.302,11.179,11.195,29.7,6140,56639
EOL V.DE TIANGUA,NE,030585-5,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,26.5,6011,55202
EOL V.DE TIANGUA NORTE,NE,030584-7,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,27.83,6011,55204
EOL V.DO PARAZINHO,NE,030596-0,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,27.67,6011,55203
EOL V.MORRO DO CHAPEU,NE,030582-0,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,26.21,6011,55205
EOL VAQUETA,NE,031424-2,10.528,10.847,10.616,10.966,11.467,11.528,11.95,11.737,11.754,22.82,6225,59357
EOL VELLOZIA,NE,032113-3,10.165,10.561,10.326,10.674,11.435,11.496,11.917,11.702,11.719,16.1,6220,59468
EOL VENTO ARAGANO I,,030833-1,-,-,-,-,-,-,-,-,-,28.66,9860,50233
EOL VENTO FORMOSO,NE,030595-2,9.491,8.489,8.809,9.085,10.15,10.147,10.495,10.389,10.404,26.26,6011,55200
EOL VENTOS CAMPO FORMOSO I,NE,030943-5,11.231,10.237,9.99,10.226,11.151,11.182,11.575,11.379,11.396,29.85,6107,58801
EOL VENTOS CAMPO FORMOSO II,NE,031010-7,11.231,10.237,9.99,10.226,11.151,11.182,11.575,11.379,11.396,29.85,6107,58802
EOL VENTOS DA ANDORINHA,NE,030944-3,11.231,10.237,9.99,10.226,11.151,11.182,11.575,11.379,11.396,29.85,6107,58800
EOL VENTOS DA BAHIA I,NE,032526-0,10.807,10.289,10.138,10.366,10.628,10.672,11.062,10.881,10.897,28.6,6291,59062
EOL VENTOS DA BAHIA II,,031758-6,-,-,-,-,-,-,-,-,-,26.21,96470,59016
EOL VENTOS DA BAHIA III,NE,032527-9,10.807,10.289,10.138,10.366,10.628,10.672,11.062,10.881,10.897,30.8,6291,59063
EOL VENTOS DA BAHIA IV,,031770-5,-,-,-,-,-,-,-,-,-,11.65,96470,59020
EOL VENTOS DA BAHIA IX,NE,032531-7,10.807,10.289,10.138,10.366,10.628,10.672,11.062,10.881,10.897,28.6,6291,59064
EOL VENTOS DA BAHIA VIII,,031771-3,-,-,-,-,-,-,-,-,-,26.21,96470,59017
EOL VENTOS DA BAHIA XIII,NE,032535-0,10.807,10.289,10.138,10.366,10.72,10.766,11.161,10.981,10.997,49.5,6291,59089
EOL VENTOS DA BAHIA XIV,NE,032536-8,10.807,10.289,10.138,10.366,10.72,10.766,11.161,10.981,10.997,33.0,6291,59090
EOL VENTOS DA BAHIA XVIII,NE,034883-0,10.807,10.289,10.138,10.366,10.628,10.672,11.062,10.881,10.897,28.6,6291,59065
EOL VENTOS DA BAHIA XXIII,NE,035234-9,10.807,10.289,10.138,10.366,10.72,10.766,11.161,10.981,10.997,49.5,6291,59091
EOL VENTOS DA BAHIA XXVII,NE,034889-9,10.807,10.289,10.138,10.366,10.72,10.766,11.161,10.981,10.997,49.5,6291,59092
EOL VENTOS DA SANTA DULCE,NE,033648-3,10.807,10.289,10.138,10.366,10.628,10.672,11.062,10.881,10.897,27.65,6291,59053
EOL VENTOS DA SANTA ESPERANCA,NE,033649-1,10.807,10.289,10.138,10.366,10.628,10.672,11.062,10.881,10.897,27.65,6291,59054
EOL VENTOS DE ARAPUA 1,NE,035240-3,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,24.25,5926,58308
EOL VENTOS DE ARAPUA 2,NE,035241-1,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,34.65,5926,58309
EOL VENTOS DE ARAPUA 3,NE,035242-0,10.427,9.594,9.604,9.831,10.766,10.834,11.242,11.115,11.132,13.86,5926,58310
EOL VENTOS DE GUARAS I,NE,031563-0,11.231,10.237,9.99,10.226,11.151,11.182,11.575,11.379,11.396,30.0,6107,58805
EOL VENTOS DE HORIZONTE,NE,030925-7,10.135,9.313,9.541,9.766,10.828,10.892,11.302,11.179,11.195,16.13,5431,56554
