GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL AROEIRA,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL AROEIRA 1,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL AROEIRA 2,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL AROEIRA 3,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL AROEIRA 4,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL AROEIRA 5,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL AROEIRA 6,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL AROEIRA 7,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL AROEIRA 8,0,10.81,11.14,11.257,11.819,12.288,12.305,12.723,12.481,12.499,12.479000000000001,12.459000000000001,12.439000000000002,12.419000000000002,12.399000000000003,12.379000000000003,12.359000000000004,12.339000000000004
EOL ASA BRANCA I,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASA BRANCA II,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASA BRANCA III,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASA BRANCA IV,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASA BRANCA V,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASA BRANCA VI,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASA BRANCA VII,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASA BRANCA VIII,0,10.64,11.454,12.387,13.437,14.799,14.893,15.424,15.267,15.289,15.269,15.249,15.229000000000001,15.209000000000001,15.189000000000002,15.169000000000002,15.149000000000003,15.129000000000003
EOL ASSURUA 4 I,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 4 II,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 4 III,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 4 IV,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 4 V,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 4 VI,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 5 I,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 5 II,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
EOL ASSURUA 5 III,0,11.069,11.714,11.722,12.249,12.748,12.765,13.219,12.991,13.01,12.99,12.97,12.950000000000001,12.930000000000001,12.910000000000002,12.890000000000002,12.870000000000003,12.850000000000003
