Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
7733; BLUMENAU - 525;;  8,028;  1,087;  4,558;  4,563;;;  4,563;
220; BOM NOME - 230;;  8,657; 14,122; 11,390; 11,366;;; 11,366;
243; BONGI - 230;;  6,103; 13,195;  9,649;  9,626;;;  9,626;
2777; BOTUCATU - 230;;  5,307;  1,644;  3,475;  4,563;;;  4,563;
3936; BRASILIA GERAL - 230;;  7,255;  6,227;  6,741;  6,718;;;  6,718;
3920; BRAS. SUL - 230;;  7,653;  6,517;  7,085;  7,061;;;  7,061;
3919; BRAS. SUL -345;;  8,293;  7,146;  7,719;  7,696;;;  7,696;
30984; BRACEL - 440;;  6,468;  2,900;  4,684;  4,661;;;  4,661;
3300; BRASNORTE - 230;;  8,068;  3,581;  5,824;  5,801;;;  5,801;
1600; BRAUNA - 230;;  7,892;  6,802;  7,347;  7,324;;;  7,324;
205; BROT.MACAUBAS - 230;; 10,424; 12,582; 11,503; 11,480;;; 11,480;
376; BRUMADO II - 230;;  6,972;  8,472;  7,722;  7,699;;;  7,699;
38913; HELIO VALGAS MG - 345;; 10,123;  8,307;  9,215;  9,192;;;  9,192;
12318; BURITIRAMA - 500;;  9,548; 11,356; 10,452; 10,429;;; 10,429;
9266; CRUZ ALTA 2 - 230;;  9,457;  0,169;  4,813;  4,790;;;  4,790;
4481; CANA BRAVA - 230;;  9,566;  8,864;  9,215;  9,192;;;  9,192;
6615; C.COMPRIDO - 230;;  7,335;  0,987;  4,161;  4,563;;;  4,563;
270; CIC.DANTAS - 230;;  6,925; 13,299; 10,112; 10,089;;; 10,089;
11461; CAMPO FORMOSO - 230;;  9,559; 15,147; 12,353; 12,330;;; 12,330;
9020; C.INDUSTRIAL - 230;;  8,007;  0,327;  4,167;  4,563;;;  4,563;
236; COELHO NETO - 230;;  6,377; 10,867;  8,622;  8,599;;;  8,599;
11253; CURRAIS NOVOS II - 230;;  8,274; 16,005; 12,140; 12,116;;; 12,116;
3720; C. PAULISTA - 500;;  7,305;  4,739;  6,022;  5,999;;;  5,999;
38871; CACU - 230;;  8,707;  5,254;  6,980;  6,957;;;  6,957;
2649; CABREUVA - 230;;  4,849;  2,079;  3,464;  4,563;;;  4,563;
2647; CABREUVA - 440;;  5,836;  2,921;  4,379;  4,563;;;  4,563;
58008; CAETES II - 230;;  7,398; 13,922; 10,660; 10,637;;; 10,637;
51457; CAMAQUA 3 - 230;;  8,270;  0,454;  4,362;  4,563;;;  4,563;
574; CAMACARI - 500;;  7,297; 12,185;  9,741;  9,718;;;  9,718;
284; CAMACARI IV - 230;;  6,562; 11,734;  9,148;  9,125;;;  9,125;
584; CAMACARI IV - 500;;  7,244; 12,044;  9,644;  9,620;;;  9,620;
9030; CAMAQUA - 230;;  8,126;  0,300;  4,213;  4,563;;;  4,563;
3701; CAMPINAS - 345;;  5,616;  2,849;  4,233;  4,563;;;  4,563;
3700; CAMPINAS - 500;;  6,957;  3,832;  5,394;  5,371;;;  5,371;
38951; CAMPOS 2 - 500;;  7,571;  5,912;  6,742;  6,718;;;  6,718;
9015; CAMPO BOM - 230;;  7,546;  0,129;  3,837;  4,563;;;  4,563;
3785; CAMPOS - 345;;  7,969;  5,909;  6,939;  6,916;;;  6,916;
38873; CANARANA CMT - 230;;  6,340;  4,424;  5,382;  5,358;;;  5,358;
9283; CANDELARIA 2 - 230;;  9,367;  0,213;  4,790;  4,767;;;  4,767;
9040; CANDIOTA 2 - 230;;  8,934;  0,775;  4,855;  4,832;;;  4,832;
7753; CANDIOTA 2 - 525;;  8,818;  0,904;  4,861;  4,838;;;  4,838;
50209; CANDIOTA - 230;;  8,935;  0,775;  4,855;  4,832;;;  4,832;
9045; CANOA 1 - 230;;  7,768;  0,180;  3,974;  4,563;;;  4,563;
9050; CANOAS 2 - 230;;  8,547;  0,516;  4,532;  4,563;;;  4,563;
7778; CANOINHA - 230;;  6,659;  0,247;  3,453;  4,563;;;  4,563;
50215; CAPIVARI-230;;  8,231;  0,657;  4,444;  4,563;;;  4,563;
50212; CAPIVARI-525;;  8,376;  0,923;  4,650;  4,626;;;  4,626;
2622; CAPIVARA - 440;;  8,328;  3,498;  5,913;  5,890;;;  5,890;
1202; CARAJAS GO - 230;;  7,358;  4,375;  5,866;  5,843;;;  5,843;
916; CARAJAS PA - 230;;  8,161; 10,051;  9,106;  9,083;;;  9,083;
2966; CARBOCLORO - 230;;  4,204;  1,170;  2,687;  4,563;;;  4,563;
6624; CASCAVEL - 230;;  8,753;  1,839;  5,296;  5,273;;;  5,273;
44900; CASCAVEL NORT - 230;;  8,558;  1,813;  5,186;  5,162;;;  5,162;
6625; CASCAVEL OESTE - 230;;  8,904;  2,024;  5,464;  5,441;;;  5,441;
6626; CASCAVOE - 525;;  9,084;  2,598;  5,841;  5,818;;;  5,818;
6762; CAMPO ASSOBIO - 230;;  7,088;  0,721;  3,905;  4,563;;;  4,563;
235; CASTANHA - 230;;  6,725;  9,351;  8,038;  8,015;;;  8,015;
