Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
50209; CANDIOTA - 230;;  7,562;;  7,562;  7,532;;;  7,532;
9045; CANOA 1 - 230;;  6,524;;  6,524;  6,494;;;  6,494;
9050; CANOAS 2 - 230;;  7,355;;  7,355;  7,325;;;  7,325;
7778; CANOINHA - 230;;  5,268;;  5,268;  5,335;;;  5,335;
50215; CAPIVARI-230;;  7,009;;  7,009;  6,979;;;  6,979;
50212; CAPIVARI-525;;  7,137;;  7,137;  7,107;;;  7,107;
2622; CAPIVARA - 440;;  8,719;;  8,719;  8,689;;;  8,689;
1202; CARAJAS GO - 230;;  9,091;;  9,091;  9,061;;;  9,061;
916; CARAJAS PA - 230;; 10,133;; 10,133; 10,103;;; 10,103;
2966; CARBOCLORO - 230;;  4,313;;  4,313;  5,335;;;  5,335;
6624; CASCAVEL - 230;;  7,333;;  7,333;  7,302;;;  7,302;
44900; CASCAVEL NORT - 230;;  7,239;;  7,239;  7,209;;;  7,209;
6625; CASCAVEL OESTE - 230;;  7,561;;  7,561;  7,531;;;  7,531;
6626; CASCAVOE - 525;;  7,903;;  7,903;  7,873;;;  7,873;
6762; CAMPO ASSOBIO - 230;;  6,007;;  6,007;  5,977;;;  5,977;
235; CASTANHA - 230;;  8,267;;  8,267;  8,237;;;  8,237;
51704; CASTERTECH - 230;;  6,420;;  6,420;  6,390;;;  6,390;
7023; CASTRO NORTE - 230;;  6,027;;  6,027;  5,997;;;  5,997;
272; CATU - 230;;  7,954;;  7,954;  7,924;;;  7,924;
218; CAIUPE - 230;;  9,477;;  9,477;  9,447;;;  9,447;
9062; CAXIAS SUL 2 - 230;;  6,411;;  6,411;  6,381;;;  6,381;
9065; CAXIAS 5 -230;;  6,492;;  6,492;  6,462;;;  6,462;
9066; CAXIAS 6 - 230;;  6,439;;  6,439;  6,409;;;  6,409;
46948; CAXIAS - 230;;  6,791;;  6,791;  6,761;;;  6,761;
46947; CAXIAS NORTE - 525;;  7,176;;  7,176;  7,146;;;  7,146;
9060; CAXIAS NORTE - 230;;  6,593;;  6,593;  6,563;;;  6,563;
7751; CAXIAS RS - 525;;  7,075;;  7,075;  7,045;;;  7,045;
4532; CBA - 230;;  5,063;;  5,063;  5,335;;;  5,335;
2672; CBA TERM - 440;;  5,491;;  5,491;  5,460;;;  5,460;
7299; CBA LESTE - 230;;  6,682;;  6,682;  6,652;;;  6,652;
7300; CBA LESTE - 525;;  7,111;;  7,111;  7,081;;;  7,081;
44655; CURITIBA NORT - 230;;  6,219;;  6,219;  6,189;;;  6,189;
2802; CAPAO BONITO - 230;;  3,281;;  3,281;  5,335;;;  5,335;
1153; CACHOEIRA DOURADA - 230;; 11,430;; 11,430; 11,400;;; 11,400;
2941; TR.CENTRO 1 - 230;;  3,055;;  3,055;  5,335;;;  5,335;
2942; TR.CENTRO 2 - 230;;  3,055;;  3,055;  5,335;;;  5,335;
2943; CENTRO - 230;;  2,746;;  2,746;  5,335;;;  5,335;
44906; CERQUILHO 3 - 230;;  4,258;;  4,258;  5,335;;;  5,335;
39850; CAMPO GRANDE II - 230;;  8,481;;  8,481;  8,451;;;  8,451;
11244; CAMPINA GRANDE II - 230;; 10,240;; 10,240; 10,210;;; 10,210;
12244; CAMPINA GRANDE III - 230;; 10,435;; 10,435; 10,405;;; 10,405;
544; CAMPINA GRANDE III - 500;; 10,836;; 10,836; 10,806;;; 10,806;
58208; CHAPADA 1 PI - 230;; 11,679;; 11,679; 11,649;;; 11,649;
58217; CHAPADA 2 PI - 230;; 11,599;; 11,599; 11,568;;; 11,568;
58227; CHAPADA 3 PI - 230;; 11,744;; 11,744; 11,713;;; 11,713;
13020; CHAPADINHA II - 230;;  8,619;;  8,619;  8,588;;;  8,588;
38853; CHAPADAO - 230;;  9,739;;  9,739;  9,708;;;  9,708;
7882; CHARQUEADAS 3 - 230;;  6,929;;  6,929;  6,899;;;  6,899;
7780; CHARQUEADAS (SE) - 230;;  6,736;;  6,736;  6,706;;;  6,706;
2773; CHAVANTES - 230;;  6,474;;  6,474;  6,444;;;  6,444;
6617; C.IND. CURITIBA - 230;;  6,272;;  6,272;  6,241;;;  6,241;
4582; CLAUDIA - 500;; 11,942;; 11,942; 11,912;;; 11,912;
274; CAMACARI II - 230;;  8,540;;  8,540;  8,510;;;  8,510;
7776; C.MOURAO - 230;;  7,570;;  7,570;  7,540;;;  7,540;
11246; CEAMIRIM - 230;; 11,119;; 11,119; 11,089;;; 11,089;
11546; CEA.MIRIM II - 500;; 11,251;; 11,251; 11,221;;; 11,221;
12201; CURRAL NOVO PIAUI - 230;; 11,832;; 11,832; 11,802;;; 11,802;
12501; CURRAL NOVO PIAUI - 500;; 11,736;; 11,736; 11,706;;; 11,706;
7723; CAMPOS NOVOS - 230;;  8,311;;  8,311;  8,281;;;  8,281;
7736; CAMPOS NOVOS - 525;;  7,594;;  7,594;  7,564;;;  7,564;
40663; CODEMI GO- 230;; 12,067;; 12,067; 12,037;;; 12,037;
5201; C.PORTO VELHO - 500;; 18,937;; 18,937; 18,907;;; 18,907;
7850; CERRO CHATO - 230;;  7,498;;  7,498;  7,468;;;  7,468;
5199; C.PORTO VELHO - 230;;  3,904;;  3,904;  5,335;;;  5,335;
41172; COLIDER - 500;; 11,942;; 11,942; 11,912;;; 11,912;
591; COLINAS - 500;; 11,152;; 11,152; 11,122;;; 11,122;
4320; COMPERJ - 345;;  8,678;;  8,678;  8,648;;;  8,648;
7917; ENSEAD-SC2 - 30;;  5,630;;  5,630;  5,600;;;  5,600;
233; SE COREMAS II - 230;; 10,382;; 10,382; 10,352;;; 10,352;
3908; CORUMBA - 345;; 10,500;; 10,500; 10,470;;; 10,470;
38851; CORUMBA 2 - 30;;  7,638;;  7,638;  7,608;;;  7,608;
279; COTEGIPE - 230;;  8,239;;  8,239;  8,209;;;  8,209;
11033; COTEMINAS - 230;; 10,049;; 10,049; 10,019;;; 10,019;
3276; COXIPO - 230;;  7,904;;  7,904;  7,874;;;  7,874;
1616; CONSE. PENA - 230;; 10,211;; 10,211; 10,181;;; 10,181;
11217; CRATO 2 - 230;; 10,972;; 10,972; 10,942;;; 10,942;
10405; CRISTIANO ROCHA - 230;;  7,679;;  7,679;  7,649;;;  7,649;
4283; CUIABA - 230;;  8,091;;  8,091;  8,061;;;  8,061;
4284; CUIABA - 500;;  8,469;;  8,469;  8,439;;;  8,439;
