GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL AROEIRA 2,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
EOL AROEIRA 3,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
EOL AROEIRA 4,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
EOL AROEIRA 5,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
EOL AROEIRA 6,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
EOL AROEIRA 7,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
EOL AROEIRA 8,0,10.81,11.14,11.257,11.859,12.312,12.328,12.747,12.505,12.523,12.503,12.483,12.463000000000001,12.443000000000001,12.423000000000002,12.403000000000002,12.383000000000003,12.363000000000003
EOL ASA BRANCA I,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASA BRANCA II,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASA BRANCA III,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASA BRANCA IV,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASA BRANCA V,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASA BRANCA VI,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASA BRANCA VII,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASA BRANCA VIII,0,10.64,11.454,12.387,13.469,14.82,14.914,15.445,15.288,15.31,15.290000000000001,15.270000000000001,15.250000000000002,15.230000000000002,15.210000000000003,15.190000000000003,15.170000000000003,15.150000000000004
EOL ASSURUA 4 I,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 4 II,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 4 III,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 4 IV,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 4 V,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 4 VI,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 5 I,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 5 II,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 5 III,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 5 IV,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 5 V,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA 5 VI,0,11.069,11.714,11.722,12.293,12.772,12.789,13.243,13.015,13.034,13.014000000000001,12.994000000000002,12.974000000000002,12.954000000000002,12.934000000000003,12.914000000000003,12.894000000000004,12.874000000000004
EOL ASSURUA II,0,10.918,11.076,11.183,11.826,11.849,11.859,12.26,11.992,12.01,11.99,11.97,11.950000000000001,11.930000000000001,11.910000000000002,11.890000000000002,11.870000000000003,11.850000000000003
EOL ASSURUA III,0,10.918,11.076,11.183,11.826,11.849,11.859,12.26,11.992,12.01,11.99,11.97,11.950000000000001,11.930000000000001,11.910000000000002,11.890000000000002,11.870000000000003,11.850000000000003
EOL ASSURUA IV,0,10.918,11.076,11.183,11.826,11.849,11.859,12.26,11.992,12.01,11.99,11.97,11.950000000000001,11.930000000000001,11.910000000000002,11.890000000000002,11.870000000000003,11.850000000000003
EOL ASSURUA V,0,10.918,11.076,11.183,11.826,11.849,11.859,12.26,11.992,12.01,11.99,11.97,11.950000000000001,11.930000000000001,11.910000000000002,11.890000000000002,11.870000000000003,11.850000000000003
EOL ASSURUA VII,0,10.918,11.076,11.183,11.826,11.849,11.859,12.26,11.992,12.01,11.99,11.97,11.950000000000001,11.930000000000001,11.910000000000002,11.890000000000002,11.870000000000003,11.850000000000003
EOL ATLANTICA I,0,5.5,6.409,5.655,4.963,5.189,5.183,5.349,5.364,5.372,5.352,5.332000000000001,5.312000000000001,5.292000000000002,5.272000000000002,5.2520000000000024,5.232000000000003,5.212000000000003
EOL ATLANTICA II,0,5.5,6.409,5.655,4.963,5.189,5.183,5.349,5.364,5.372,5.352,5.332000000000001,5.312000000000001,5.292000000000002,5.272000000000002,5.2520000000000024,5.232000000000003,5.212000000000003
EOL ATLANTICA IV,0,5.5,6.409,5.655,4.963,5.189,5.183,5.349,5.364,5.372,5.352,5.332000000000001,5.312000000000001,5.292000000000002,5.272000000000002,5.2520000000000024,5.232000000000003,5.212000000000003
EOL ATLANTICA V,0,5.5,6.409,5.655,4.963,5.189,5.183,5.349,5.364,5.372,5.352,5.332000000000001,5.312000000000001,5.292000000000002,5.272000000000002,5.2520000000000024,5.232000000000003,5.212000000000003
EOL AURA CAETITE 01,0,10.456,10.793,10.431,10.798,11.132,11.127,11.506,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL AURA CAETITE 02,0,10.456,10.793,10.431,10.798,11.132,11.127,11.506,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL AURA CAETITE 03,0,10.456,10.793,10.431,10.798,11.132,11.127,11.506,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL AURA CAETITE 04,0,10.456,10.793,10.431,10.798,11.132,11.127,11.506,11.211,11.227,11.207,11.187000000000001,11.167000000000002,11.147000000000002,11.127000000000002,11.107000000000003,11.087000000000003,11.067000000000004
EOL AURA LAGOA DO BARRO 01,0,10.859,11.333,11.823,12.628,13.72,13.739,14.067,13.913,13.934,13.914,13.894,13.874,13.854000000000001,13.834000000000001,13.814000000000002,13.794000000000002,13.774000000000003
EOL AURA LAGOA DO BARRO 02,0,10.859,11.333,11.823,12.628,13.72,13.739,14.067,13.913,13.934,13.914,13.894,13.874,13.854000000000001,13.834000000000001,13.814000000000002,13.794000000000002,13.774000000000003
EOL AURA LAGOA DO BARRO 03,0,10.859,11.333,11.823,12.628,13.72,13.739,14.067,13.913,13.934,13.914,13.894,13.874,13.854000000000001,13.834000000000001,13.814000000000002,13.794000000000002,13.774000000000003
EOL AURA LAGOA DO BARRO 04,0,10.859,11.333,11.823,12.628,13.72,13.739,14.067,13.913,13.934,13.914,13.894,13.874,13.854000000000001,13.834000000000001,13.814000000000002,13.794000000000002,13.774000000000003
EOL AURA LAGOA DO BARRO 05,0,10.859,11.333,11.823,12.628,13.72,13.739,14.067,13.913,13.934,13.914,13.894,13.874,13.854000000000001,13.834000000000001,13.814000000000002,13.794000000000002,13.774000000000003
EOL AURA LAGOA DO BARRO 06,0,10.859,11.333,11.823,12.628,13.72,13.739,14.067,13.913,13.934,13.914,13.894,13.874,13.854000000000001,13.834000000000001,13.814000000000002,13.794000000000002,13.774000000000003
EOL AURA LAGOA DO BARRO 07,0,10.859,11.333,11.823,12.628,13.72,13.739,14.067,13.913,13.934,13.914,13.894,13.874,13.854000000000001,13.834000000000001,13.814000000000002,13.794000000000002,13.774000000000003
EOL AURA MANGUEIRA IV,0,6.613,7.277,6.437,5.351,5.189,5.183,5.349,5.364,5.372,5.352,5.332000000000001,5.312000000000001,5.292000000000002,5.272000000000002,5.2520000000000024,5.232000000000003,5.212000000000003
EOL AURA MANGUEIRA VI,0,6.613,7.277,6.437,5.351,5.189,5.183,5.349,5.364,5.372,5.352,5.332000000000001,5.312000000000001,5.292000000000002,5.272000000000002,5.2520000000000024,5.232000000000003,5.212000000000003
EOL AURA MANGUEIRA VII,0,6.613,7.277,6.437,5.351,5.189,5.183,5.349,5.364,5.372,5.352,5.332000000000001,5.312000000000001,5.292000000000002,5.272000000000002,5.2520000000000024,5.232000000000003,5.212000000000003
