Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
38873; CANARANA CMT - 230;;  6,672;;  6,672;  6,648;;;  6,648;
9283; CANDELARIA 2 - 230;;  7,765;;  7,765;  7,741;;;  7,741;
9040; CANDIOTA 2 - 230;;  7,598;;  7,598;  7,574;;;  7,574;
7753; CANDIOTA 2 - 525;;  7,545;;  7,545;  7,521;;;  7,521;
50209; CANDIOTA - 230;;  7,598;;  7,598;  7,574;;;  7,574;
9045; CANOA 1 - 230;;  6,571;;  6,571;  6,547;;;  6,547;
9050; CANOAS 2 - 230;;  7,393;;  7,393;  7,369;;;  7,369;
7778; CANOINHA - 230;;  5,325;;  5,325;  5,301;;;  5,301;
50215; CAPIVARI-230;;  7,053;;  7,053;  7,029;;;  7,029;
50212; CAPIVARI-525;;  7,189;;  7,189;  7,166;;;  7,166;
2622; CAPIVARA - 440;;  8,516;;  8,516;  8,492;;;  8,492;
1202; CARAJAS GO - 230;;  8,880;;  8,880;  8,856;;;  8,856;
916; CARAJAS PA - 230;;  9,804;;  9,804;  9,780;;;  9,780;
2966; CARBOCLORO - 230;;  4,314;;  4,314;  5,178;;;  5,178;
6624; CASCAVEL - 230;;  7,273;;  7,273;  7,249;;;  7,249;
44900; CASCAVEL NORT - 230;;  7,181;;  7,181;  7,157;;;  7,157;
6625; CASCAVEL OESTE - 230;;  7,490;;  7,490;  7,466;;;  7,466;
6626; CASCAVOE - 525;;  7,803;;  7,803;  7,779;;;  7,779;
6762; CAMPO ASSOBIO - 230;;  5,860;;  5,860;  5,837;;;  5,837;
235; CASTANHA - 230;;  8,041;;  8,041;  8,017;;;  8,017;
51704; CASTERTECH - 230;;  6,485;;  6,485;  6,461;;;  6,461;
7023; CASTRO NORTE - 230;;  6,014;;  6,014;  5,990;;;  5,990;
272; CATU - 230;;  7,737;;  7,737;  7,714;;;  7,714;
218; CAIUPE - 230;;  9,207;;  9,207;  9,183;;;  9,183;
9062; CAXIAS SUL 2 - 230;;  6,477;;  6,477;  6,453;;;  6,453;
9065; CAXIAS 5 -230;;  6,524;;  6,524;  6,500;;;  6,500;
9066; CAXIAS 6 - 230;;  6,502;;  6,502;  6,478;;;  6,478;
46948; CAXIAS - 230;;  6,845;;  6,845;  6,821;;;  6,821;
46947; CAXIAS NORTE - 525;;  7,214;;  7,214;  7,190;;;  7,190;
9060; CAXIAS NORTE - 230;;  6,641;;  6,641;  6,617;;;  6,617;
7751; CAXIAS RS - 525;;  7,114;;  7,114;  7,091;;;  7,091;
4532; CBA - 230;;  5,018;;  5,018;  5,178;;;  5,178;
2672; CBA TERM - 440;;  5,425;;  5,425;  5,402;;;  5,402;
7299; CBA LESTE - 230;;  6,591;;  6,591;  6,567;;;  6,567;
7300; CBA LESTE - 525;;  7,062;;  7,062;  7,038;;;  7,038;
44655; CURITIBA NORT - 230;;  6,158;;  6,158;  6,134;;;  6,134;
2802; CAPAO BONITO - 230;;  3,325;;  3,325;  5,178;;;  5,178;
1153; CACHOEIRA DOURADA - 230;; 11,098;; 11,098; 11,074;;; 11,074;
2941; TR.CENTRO 1 - 230;;  3,110;;  3,110;  5,178;;;  5,178;
2942; TR.CENTRO 2 - 230;;  3,110;;  3,110;  5,178;;;  5,178;
2943; CENTRO - 230;;  2,815;;  2,815;  5,178;;;  5,178;
44906; CERQUILHO 3 - 230;;  4,242;;  4,242;  5,178;;;  5,178;
39850; CAMPO GRANDE II - 230;;  8,328;;  8,328;  8,304;;;  8,304;
11244; CAMPINA GRANDE II - 230;;  9,857;;  9,857;  9,833;;;  9,833;
12244; CAMPINA GRANDE III - 230;; 10,041;; 10,041; 10,017;;; 10,017;
544; CAMPINA GRANDE III - 500;; 10,426;; 10,426; 10,402;;; 10,402;
58208; CHAPADA 1 PI - 230;; 11,287;; 11,287; 11,263;;; 11,263;
58217; CHAPADA 2 PI - 230;; 11,212;; 11,212; 11,188;;; 11,188;
58227; CHAPADA 3 PI - 230;; 11,351;; 11,351; 11,327;;; 11,327;
13020; CHAPADINHA II - 230;;  8,395;;  8,395;  8,371;;;  8,371;
38853; CHAPADAO - 230;;  9,496;;  9,496;  9,472;;;  9,472;
7882; CHARQUEADAS 3 - 230;;  6,966;;  6,966;  6,942;;;  6,942;
7780; CHARQUEADAS (SE) - 230;;  6,775;;  6,775;  6,751;;;  6,751;
2773; CHAVANTES - 230;;  6,366;;  6,366;  6,342;;;  6,342;
6617; C.IND. CURITIBA - 230;;  5,933;;  5,933;  5,909;;;  5,909;
4582; CLAUDIA - 500;; 11,611;; 11,611; 11,587;;; 11,587;
274; CAMACARI II - 230;;  8,190;;  8,190;  8,166;;;  8,166;
7776; C.MOURAO - 230;;  7,569;;  7,569;  7,545;;;  7,545;
11246; CEAMIRIM - 230;; 10,645;; 10,645; 10,621;;; 10,621;
11546; CEA.MIRIM II - 500;; 10,803;; 10,803; 10,779;;; 10,779;
12201; CURRAL NOVO PIAUI - 230;; 11,430;; 11,430; 11,406;;; 11,406;
12501; CURRAL NOVO PIAUI - 500;; 11,336;; 11,336; 11,313;;; 11,313;
7723; CAMPOS NOVOS - 230;;  8,354;;  8,354;  8,330;;;  8,330;
7736; CAMPOS NOVOS - 525;;  7,621;;  7,621;  7,597;;;  7,597;
40663; CODEMI GO- 230;; 11,249;; 11,249; 11,225;;; 11,225;
5201; C.PORTO VELHO - 500;; 18,197;; 18,197; 18,173;;; 18,173;
7850; CERRO CHATO - 230;;  7,598;;  7,598;  7,574;;;  7,574;
5199; C.PORTO VELHO - 230;;  4,079;;  4,079;  5,178;;;  5,178;
41172; COLIDER - 500;; 11,611;; 11,611; 11,587;;; 11,587;
591; COLINAS - 500;; 10,775;; 10,775; 10,751;;; 10,751;
4320; COMPERJ - 345;;  8,457;;  8,457;  8,433;;;  8,433;
7917; ENSEAD-SC2 - 30;;  5,753;;  5,753;  5,729;;;  5,729;
233; SE COREMAS II - 230;; 10,047;; 10,047; 10,023;;; 10,023;
3908; CORUMBA - 345;; 10,186;; 10,186; 10,162;;; 10,162;
38851; CORUMBA 2 - 30;;  7,516;;  7,516;  7,493;;;  7,493;
279; COTEGIPE - 230;;  7,919;;  7,919;  7,895;;;  7,895;
11033; COTEMINAS - 230;;  9,674;;  9,674;  9,650;;;  9,650;
3276; COXIPO - 230;;  7,689;;  7,689;  7,665;;;  7,665;
1616; CONSE. PENA - 230;;  9,899;;  9,899;  9,875;;;  9,875;
11217; CRATO 2 - 230;; 10,618;; 10,618; 10,594;;; 10,594;
10405; CRISTIANO ROCHA - 230;;  7,515;;  7,515;  7,491;;;  7,491;
4283; CUIABA - 230;;  7,905;;  7,905;  7,882;;;  7,882;
4284; CUIABA - 500;;  8,399;;  8,399;  8,376;;;  8,376;
7739; CURITIBA - 230;;  6,236;;  6,236;  6,212;;;  6,212;
7732; CURITIBA - 525;;  7,054;;  7,054;  7,030;;;  7,030;
219; DELM. GOUVEIA - 230;;  8,652;;  8,652;  8,628;;;  8,628;
281; D.PITUACU - 230;;  7,602;;  7,602;  7,578;;;  7,578;
4361; DARDANELOS - 230;; 10,198;; 10,198; 10,174;;; 10,174;
7745; DESTERRO - 230;;  5,022;;  5,022;  5,178;;;  5,178;
9090; DONA FRANCISCA - 230;;  8,567;;  8,567;  8,544;;;  8,544;
6761; D. INDUSTRIAL SJP - 230;;  6,018;;  6,018;  5,994;;;  5,994;
2664; JANDIRA - 440;;  5,414;;  5,414;  5,390;;;  5,390;
7771; DOURADOS 2 - 230;;  8,534;;  8,534;  8,510;;;  8,510;
7757; DOURADOS - 230;;  8,477;;  8,477;  8,453;;;  8,453;
51003; J. BOTANICO 2 - 230;;  5,897;;  5,897;  5,873;;;  5,873;
51002; J. BOTANICO 1 - 230;;  6,096;;  6,096;  6,072;;;  6,072;
2923; DOMENICO RANGONI - 345;;  4,806;;  4,806;  5,178;;;  5,178;
287; E. MARTIN - 230;; 10,476;; 10,476; 10,452;;; 10,452;
2939; EDGARD SOUZA - 230;;  4,227;;  4,227;  5,178;;;  5,178;
38862; EDEIA - 230;; 10,941;; 10,941; 10,918;;; 10,918;
9097; ELDORADO - 230;;  6,691;;  6,691;  6,667;;;  6,667;
214; EMBASA - 230;;  7,379;;  7,379;  7,355;;;  7,355;
1509; EMBORCACAO - 500;; 10,287;; 10,287; 10,263;;; 10,263;
2645; EMBU-GUACU - 345;;  4,655;;  4,655;  5,178;;;  5,178;
2643; EMBU-GUACU - 440;;  5,241;;  5,241;  5,217;;;  5,217;
13230; ENCRUZO - 230;;  8,025;;  8,025;  8,002;;;  8,002;
3946; ESTREITO - 345;;  9,264;;  9,264;  9,240;;;  9,240;
4302; ESTREITO - 500;;  9,175;;  9,175;  9,151;;;  9,151;
269; EUNAPOLI - 230;;  8,333;;  8,333;  8,309;;;  8,309;
12546; EXTREMOZ II - 230;; 10,311;; 10,311; 10,287;;; 10,287;
7306; FOZ DO CHAPECO - 230;;  8,807;;  8,807;  8,783;;;  8,783;
6653; FCHOPIM--230;;  9,082;;  9,082;  9,058;;;  9,058;
4321; F.DIAS - 440;;  7,133;;  7,133;  7,109;;;  7,109;
4322; F.DIAS - 500;;  8,002;;  8,002;  7,978;;;  7,978;
7782; FARROUPILHA - 230;;  6,573;;  6,573;  6,549;;;  6,549;
9541; FEIJO - 230;;  0,451;;  0,451;  5,178;;;  5,178;
9095; FIBR-F RS - 230;;  6,658;;  6,658;  6,634;;;  6,634;
6651; FIGUEIRA - 230;;  6,373;;  6,373;  6,349;;;  6,349;
1194; FIRMINOPOLIS - 230;; 11,027;; 11,027; 11,003;;; 11,003;
212; FLORESTA II - 230;; 11,006;; 11,006; 10,982;;; 10,982;
21049; FORD - 230;;  7,734;;  7,734;  7,711;;;  7,711;
7743; FORQUILINHA - 230;;  6,245;;  6,245;  6,221;;;  6,221;
325; FORTALEZA II - 230;;  9,367;;  9,367;  9,344;;;  9,344;
525; FORTALEZA II - 500;; 10,267;; 10,267; 10,243;;; 10,243;
225; FORTALEZA - 230;;  9,320;;  9,320;  9,296;;;  9,296;
3642; F.IGUACU - 765;;  7,557;;  7,557;  7,533;;;  7,533;
6652; F.IGUACUNORTE - 230;;  4,249;;  4,249;  5,178;;;  5,178;
276; FUNIL - 230;;  5,620;;  5,620;  5,596;;;  5,596;
3808; FURNAS - 345;;  9,000;;  9,000;  8,976;;;  8,976;
275; G. MANGABEIRA - 230;;  8,042;;  8,042;  8,019;;;  8,019;
58405; MLGICO CE - 230;; 10,518;; 10,518; 10,494;;; 10,494;
8720; GARABI 1 - 525;;  7,640;;  7,640;  7,616;;;  7,616;
8721; GARABI 2 - 525;;  7,640;;  7,640;  7,616;;;  7,616;
349; GARANHUNS II - 230;;  9,838;;  9,838;  9,814;;;  9,814;
549; GARANHUNS - 500;; 10,134;; 10,134; 10,110;;; 10,110;
9100; GARIBALDI - 230;;  6,215;;  6,215;  6,191;;;  6,191;
46942; GASPAR 2 -230;;  6,131;;  6,131;  6,107;;;  6,107;
7713; GASPAR 2 - 525;;  6,757;;  6,757;  6,733;;;  6,733;
4533; GERDAU SP - 440;;  5,742;;  5,742;  5,718;;;  5,718;
2675; GETULINA - 440;;  7,917;;  7,917;  7,893;;;  7,893;
11051; GILBUES - 230;; 11,115;; 11,115; 11,091;;; 11,091;
836; GILBUES II - 500;; 11,288;; 11,288; 11,264;;; 11,264;
23321; GOIANIA LESTE - 230;;  8,432;;  8,432;  8,408;;;  8,408;
247; GOIANINHA - 230;;  8,799;;  8,799;  8,775;;;  8,775;
11260; Gentio do Ouro II - 230;; 11,883;; 11,883; 11,859;;; 11,859;
11560; Gentio do Ouro II - 500;; 11,471;; 11,471; 11,447;;; 11,447;
6663; PARIGOT SOUZA - 230;;  7,876;;  7,876;  7,852;;;  7,852;
7021; GUARAPUAVA OESTE - 230;;  7,478;;  7,478;  7,454;;;  7,454;
3759; GRAJAU - 500;;  8,231;;  8,231;  8,207;;;  8,207;
6664; GRALHA AZUL - 230;;  6,698;;  6,698;  6,674;;;  6,674;
7750; GRAVATAI - 525;;  7,286;;  7,286;  7,262;;;  7,262;
9110; GRAVATA2 - 230;;  6,791;;  6,791;  6,767;;;  6,767;
7924; GRAVATAI3 - 230;;  6,692;;  6,692;  6,668;;;  6,668;
50214; GUAIBA3 - 230;;  7,072;;  7,072;  7,048;;;  7,048;
50213; GUAIBA3 - 525;;  7,512;;  7,512;  7,488;;;  7,488;
9120; GUAIBA - 230;;  7,055;;  7,055;  7,031;;;  7,031;
6665; GUAIRA F -230;;  7,578;;  7,578;  7,554;;;  7,554;
6630; GUAIRA F - 525;;  7,629;;  7,629;  7,606;;;  7,606;
390; GUAMA - 230;;  8,870;;  8,870;  8,846;;;  8,846;
9130; GUARITA - 230;;  7,910;;  7,910;  7,886;;;  7,886;
3831; GUARULHOS - 345;;  4,055;;  4,055;  5,178;;;  5,178;
1638; GUILMAN - 230;;  9,467;;  9,467;  9,443;;;  9,443;
39040; GURUPI - 230;; 10,588;; 10,588; 10,564;;; 10,564;
5002; GURUPI - 500;; 10,940;; 10,940; 10,916;;; 10,916;
2720; GV - 230;;  7,074;;  7,074;  7,050;;;  7,050;
1619; VALADARES - 230;;  9,708;;  9,708;  9,684;;;  9,684;
38921; VALADARES 6 - 500;; 10,216;; 10,216; 10,192;;; 10,192;
3384; HENRY BORDEN - 230;;  4,305;;  4,305;  5,178;;;  5,178;
44652; HUBNER - 230;;  5,757;;  5,757;  5,733;;;  5,733;
38856; ILHA SOLTEIRA 2 - 230;;  9,487;;  9,487;  9,463;;;  9,463;
38876; ILHA SOLTEIRA 2 - 440;;  9,354;;  9,354;  9,330;;;  9,330;
2611; ILHA SOLTEIRA - 440;;  9,351;;  9,351;  9,327;;;  9,327;
365; IBIAPINA II – 230;; 10,156;; 10,156; 10,132;;; 10,132;
