CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
COPEL-DIS;2866;21;2383;PFISCA-PR138; POSTO FISCAL - 138;  8,855;  9,658;       ;       ;152,0;161,0
COPEL-DIS;2866;21;9329;PGRON1-PR013; PONTA G NORTE - 13,8;  8,714;  9,204;       ;       ;17,00;17,00
COPEL-DIS;2866;21;9328;PGRON2-PR034; PONTA G NORTE - 34,5;  8,714;  9,204;       ;       ;30,00;37,00
COPEL-DIS;2866;21;9326;PGROS1-PR013; PONTA G SUL - 13,8;  8,799;  9,338;       ;       ; 7,00; 9,00
COPEL-DIS;2866;21;9325;PGROS3-PR034; PONTA G SUL - 34,5;  8,799;  9,338;       ;       ;56,00;57,00
COPEL-DIS;2866;21;830;PGROSN-PR138; PONTA G NORTE - 138;  8,674;  9,181;       ;       ;195,0;191,0
COPEL-DIS;2866;21;2437;PGROSS-PR138; PONTA G SUL - 138;  8,714;  9,243;       ;       ;117,0;126,0
COPEL-DIS;2866;21;2387;PILARZ-PR069; PILARZINHO - 69;  8,544;  9,198;       ;       ;126,0;142,0
COPEL-DIS;2866;21;10004;PVINOR-PR138; PARANAVAI NORTE - 138;  8,071;  8,430;       ;       ;157,0;177,0
COPEL-DIS;2866;21;855;REALEZ-PR138; REALEZA - 138;  7,907;  8,379;       ;       ;171,0;192,0
COPEL-DIS;2866;21;546;ROSANA-SP138; ROSANA - 138;  7,456;  7,381;       ;       ; 4,40; 5,80
COPEL-DIS;2866;21;2472;SARAND-PR138; SARANDI - 138;  8,031;  8,365;       ;       ;198,0;245,0
COPEL-DIS;2866;21;9330;SMATT1-PR034; S.MATEUS SUL - 34,5;  8,296;  8,860;       ;       ;26,00;24,00
COPEL-DIS;2866;21;9331;SMATT2-PR013; S.MATEUS SUL - 13,8;  8,296;  8,860;       ;       ;15,00;17,00
COPEL-DIS;2866;21;2478;SMONIC-PR069; SANTA MONICA - 69;  8,605;  9,285;       ;       ;137,0;144,0
COPEL-DIS;2866;21;9535;SQUI-A-PR013; SANTAQUITERIA - 13,8;  8,664;  9,350;       ;       ;38,00;39,00
COPEL-DIS;2866;21;2397;SQUITE-PR069; SANTAQUITERIA - 69;  8,581;  9,245;       ;       ;150,0;172,0
COPEL-DIS;2866;21;9359;UBER-A-PR013; UBERABA - 13,8;  8,632;  9,300;       ;       ;43,00;43,00
COPEL-DIS;2866;21;2401;UBERAB-PR069; UBERABA - 69;  8,577;  9,241;       ;       ;129,0;138,0
COPEL-DIS;2866;21;2402;UMBA-A-PR069; UMBARA - 69;  8,475;  9,119;       ;       ;120,0;129,0
COPEL-DIS;2866;21;821;UMBAR2-PR230; UMBARA - 230;  8,324;  8,946;       ;       ; 6,70; 0,00
COPEL-DIS;2866;21;9726;UMUSUL-PR138; UMUARAMA - 138;  8,058;  8,399;       ;       ;196,0;213,0
