GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ASA BRANCA II,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL ASA BRANCA III,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL ASA BRANCA IV,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL ASA BRANCA V,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL ASA BRANCA VI,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL ASA BRANCA VII,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL ASA BRANCA VIII,0,10.64,9.792,9.851,10.084,10.819,10.884,11.295,11.166,11.183,11.163,11.143,11.123000000000001,11.103000000000002,11.083000000000002,11.063000000000002,11.043000000000003,11.023000000000003
EOL ASSURUA 4 I,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 4 II,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 4 III,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 4 IV,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 4 V,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 4 VI,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 5 I,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 5 II,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 5 III,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 5 IV,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 5 V,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA 5 VI,0,11.069,11.194,11.032,11.364,11.803,11.862,12.295,12.125,12.142,12.122,12.102,12.082,12.062000000000001,12.042000000000002,12.022000000000002,12.002000000000002,11.982000000000003
EOL ASSURUA II,0,10.918,10.295,10.099,10.377,10.586,10.629,11.017,10.828,10.844,10.824,10.804,10.784,10.764000000000001,10.744000000000002,10.724000000000002,10.704000000000002,10.684000000000003
EOL ASSURUA III,0,10.918,10.295,10.099,10.377,10.586,10.629,11.017,10.828,10.844,10.824,10.804,10.784,10.764000000000001,10.744000000000002,10.724000000000002,10.704000000000002,10.684000000000003
EOL ASSURUA IV,0,10.918,10.295,10.099,10.377,10.586,10.629,11.017,10.828,10.844,10.824,10.804,10.784,10.764000000000001,10.744000000000002,10.724000000000002,10.704000000000002,10.684000000000003
EOL ASSURUA V,0,10.918,10.295,10.099,10.377,10.586,10.629,11.017,10.828,10.844,10.824,10.804,10.784,10.764000000000001,10.744000000000002,10.724000000000002,10.704000000000002,10.684000000000003
EOL ASSURUA VII,0,10.918,10.295,10.099,10.377,10.586,10.629,11.017,10.828,10.844,10.824,10.804,10.784,10.764000000000001,10.744000000000002,10.724000000000002,10.704000000000002,10.684000000000003
EOL ATLANTICA I,0,5.5,8.011,8.083,7.821,7.061,6.73,6.657,6.878,6.888,6.868,6.848000000000001,6.828000000000001,6.808000000000002,6.788000000000002,6.7680000000000025,6.748000000000003,6.728000000000003
EOL ATLANTICA II,0,5.5,8.011,8.083,7.821,7.061,6.73,6.657,6.878,6.888,6.868,6.848000000000001,6.828000000000001,6.808000000000002,6.788000000000002,6.7680000000000025,6.748000000000003,6.728000000000003
