GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ASSURUA II,0,10.918,11.138,11.112,11.557,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ASSURUA III,0,10.918,11.138,11.112,11.557,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ASSURUA IV,0,10.918,11.138,11.112,11.557,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ASSURUA V,0,10.918,11.138,11.112,11.557,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ASSURUA VII,0,10.918,11.138,11.112,11.557,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ATLANTICA I,0,5.5,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ATLANTICA II,0,5.5,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ATLANTICA IV,0,5.5,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL ATLANTICA V,0,5.5,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA CAETITE 01,0,10.456,10.747,10.025,10.108,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA CAETITE 02,0,10.456,10.747,10.025,10.108,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA CAETITE 03,0,10.456,10.747,10.025,10.108,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA CAETITE 04,0,10.456,10.747,10.025,10.108,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA LAGOA DO BARRO 01,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA LAGOA DO BARRO 02,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA LAGOA DO BARRO 03,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA LAGOA DO BARRO 04,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA LAGOA DO BARRO 05,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA LAGOA DO BARRO 06,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA LAGOA DO BARRO 07,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA IV,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA VI,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA VII,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA XI,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA XII,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA XIII,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA XV,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MANGUEIRA XVII,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MIRIM II,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MIRIM IV,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MIRIM VI,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA MIRIM VIII,0,6.613,4.419,4.384,4.408,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA QUEIMADA NOVA 01,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA QUEIMADA NOVA 02,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA QUEIMADA NOVA 03,0,10.859,11.002,11.185,11.796,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA TANQUE NOVO 01,0,10.456,10.747,10.025,10.108,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA TANQUE NOVO 02,0,10.456,10.747,10.025,10.108,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AURA TANQUE NOVO 03,0,10.456,10.747,10.025,10.108,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AVENTURA I,0,10.764,10.873,11.517,12.421,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AVENTURA II,0,10.764,10.873,11.517,12.421,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AVENTURA III,0,10.764,10.873,11.517,12.421,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AVENTURA IV,0,10.764,10.873,11.517,12.421,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AVENTURA V,0,10.764,10.873,11.517,12.421,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AW SANTA REGIA,0,10.64,10.802,11.441,12.317,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL AW SAO JOAO,0,10.64,10.802,11.441,12.317,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL B.VENTOS(VENTOS),0,10.135,10.615,11.489,12.399,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL BAIXA DO FEIJAO I,0,10.64,10.802,11.441,12.317,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL BAIXA DO FEIJAO II,0,10.64,10.802,11.441,12.317,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL BAIXA DO FEIJAO III,0,10.64,10.802,11.441,12.317,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL BAIXA DO FEIJAO IV,0,10.64,10.802,11.441,12.317,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL BAIXA DO SITIO,0,10.986,11.195,12.003,12.942,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL BANDA DE COURO,0,11.056,10.963,11.113,11.761,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
EOL BARAUNAS I,0,11.056,10.963,11.113,11.761,0,0,0,0,0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12000000000000001,-0.14,-0.16
