GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ASA BRANCA III,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL ASA BRANCA IV,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL ASA BRANCA V,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL ASA BRANCA VI,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL ASA BRANCA VII,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL ASA BRANCA VIII,0,0,0,11.072,11.51,11.702,11.802,12.001,12.087,12.123,12.103,12.083,12.063,12.043000000000001,12.023000000000001,12.003000000000002,11.983000000000002,11.963000000000003
EOL ASSURUA 4 I,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 4 II,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 4 III,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 4 IV,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 4 V,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 4 VI,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 5 I,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 5 II,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 5 III,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 5 IV,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 5 V,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA 5 VI,0,0,0,11.531,11.386,11.525,11.558,11.805,11.821,11.912,11.892000000000001,11.872000000000002,11.852000000000002,11.832000000000003,11.812000000000003,11.792000000000003,11.772000000000004,11.752000000000004
EOL ASSURUA II,0,0,0,9.313,9.602,9.762,9.769,9.933,9.979,9.98,9.96,9.940000000000001,9.920000000000002,9.900000000000002,9.880000000000003,9.860000000000003,9.840000000000003,9.820000000000004
EOL ASSURUA III,0,0,0,9.313,9.602,9.762,9.769,9.933,9.979,9.98,9.96,9.940000000000001,9.920000000000002,9.900000000000002,9.880000000000003,9.860000000000003,9.840000000000003,9.820000000000004
