BARRA;NOME;TUST-RB P;TUST-RB FP;TUST-FR P;TUST-FR FP  
5152; BONGI - 230;    8,561;    8,473;;
3155; BORBOREMA - 138;    7,859;    7,804;;
626; BOTUCATU - 138;    8,845;    8,979;;
625; BOTUCATU - 230;    8,929;    9,076;;
4506; BARRA PEIXE - 13,8;    6,752;    6,458;;
7770; BRANCO PERES - 138;    7,287;    7,165;;
7734; BRACEL - 440;    8,146;    8,138;;
3158; BRA. PAULISTA - 138;    8,530;    8,544;;
4868; BRASNORTE - 230;    6,096;    5,758;;
4871; BRASNORTE - 138;    6,134;    5,800;;
9064; BRAUNAS - 138;    8,198;    7,911;;
9063; BRAUNAS - 161;    8,207;    7,914;;
9051; BRAUNA - 230;    8,207;    7,914;;
276; BRISAMAR - 138;    8,231;    8,100;;
6334; BROT.MACAUBAS - 230;    6,239;    5,698;;
5944; BRUMADO II - 69;    8,919;    8,668;;
5947; BRUMADO II - 138;    8,919;    8,668;;
5941; BRUMADO II - 230;    8,919;    8,668;;
3917; BURI - 138;    9,503;    9,830;;
6075; BURITIRAMA - 500;    6,394;    5,914;;
5703; CIC. DANTAS - 69;    8,168;    8,107;;
5701; CIC.DANTAS - 230;    8,168;    8,107;;
756; CACHOEIRA DOURADA - 230;    6,208;    5,799;;
755; C. DOURADA - 138;    6,416;    6,035;;
4513; C. MAGALHAES - 138;    6,677;    6,371;;
4512; C. MAGALHAES - 230;    6,549;    6,233;;
3197; CANDIDO MOTA - 88;    8,105;    8,213;;
5526; COELHO NETO - 69;    8,449;    8,197;;
5525; COELHO NETO - 230;    8,466;    8,217;;
5263; CUR.NOVOS II - 69;    6,593;    6,124;;
5262; CURRAIS NOVOS II - 230;    6,593;    6,124;;
183; C. PAULISTA - 138;    8,058;    7,957;;
104; C. PAULISTA - 500;    8,036;    7,938;;
9014; CONSE. PENA - 69;    7,947;    7,677;;
7054; C.PORTO VELHO - 230;    5,870;    4,825;;
7055; C.PORTO VELHO - 500;    4,009;    4,009;;
7049; C. PORTO VELHO - 138;    5,916;    4,880;;
8551; CRISTIANO ROCHA - 230;    8,104;    7,887;;
591; CABREUVA - 138;    8,586;    8,612;;
590; CABREUVA - 230;    8,950;    9,038;;
584; CABREUVA - 440;    8,572;    8,600;;
9305; CACHOEIRINHA 3 - 138;    8,023;    8,808;;
683; CACONDE - 138;    8,144;    8,097;;
9458; CACU - 230;    6,155;    5,754;;
5098; CAETES II - 230;    7,625;    7,292;;
41414; CAIACA-SC - 230;    8,533;    9,325;;
3862; MELHORAMENTOS - 138;    8,602;    8,626;;
9675; CRUZ ALTA 1 – 23;    7,215;    8,029;;
10219; CRUZ ALTA 2 - 69;    7,401;    8,224;;
10218; CRUZ ALTA 2 - 230;    7,456;    8,281;;
5750; CAMACARI - 500;    7,978;    7,802;;
5756; CAMACARI IV - 230;    8,425;    8,376;;
5752; CAMACARI IV - 500;    8,016;    7,853;;
5757; CAMACARI II - 69;    8,405;    8,312;;
9570; CAMAQUA 3 - 69;    7,745;    8,492;;
9569; CAMAQUA 3 - 230;    7,737;    8,477;;
1195; CAMAQUA - 69;    7,748;    8,497;;
1194; CAMAQUA - 230;    7,756;    8,512;;
171; CAMPINAS - 138;    8,357;    8,400;;
123; CAMPINAS - 345;    8,444;    8,494;;
103; CAMPINAS - 500;    7,914;    7,931;;
117; CAMPOS 2 - 500;    7,998;    7,789;;
1196; CAMPO BOM - 69;    7,951;    8,706;;
1198; CAMPO BOM - 230;    7,951;    8,706;;
175; CAMPOS - 138;    7,874;    7,579;;
147; CAMPOS - 345;    7,839;    7,534;;
4684; CANARANA CMT - 230;    8,179;    8,071;;
4683; CANARANA CMT - 138;    7,982;    7,840;;
9591; CANDELARIA 2 - 69;    7,302;    8,068;;
9590; CANDELARIA 2 - 230;    7,302;    8,068;;
9952; CANDIOTA 2 - 230;    7,402;    8,101;;
9951; CANDIOTA 2 - 525;    7,575;    8,262;;
9785; CANDIOTA - 230;    6,962;    7,644;;
9786; CANDIOTA - 525;    6,962;    7,644;;
1324; CANOAS 1 - 23;    8,119;    8,914;;
1190; CANOA 1 - 230;    8,119;    8,914;;
1248; CANOAS 2 - 230;    7,880;    8,645;;
2725; CANOINHAS ESU - 138;    8,755;    9,453;;
943; CANOINHA - 230;    8,770;    9,463;;
1038; CAPIVARI SUL - 138;    8,055;    8,821;;
1037; CAPIVARI-230;    8,055;    8,821;;
1036; CAPIVARI-525;    7,696;    8,386;;
549; CAPIVARA - 440;    7,358;    7,290;;
550; CAPIVARA - 138;    7,372;    7,305;;
3885; CARDOSO - 138;    7,258;    7,094;;
3057; CARAGUATATUBA - 88;    8,597;    8,618;;
3715; CARAJAS GO - 138;    7,526;    7,336;;
3714; CARAJAS GO - 230;    7,526;    7,336;;
6397; CARAJAS PA - 138;    7,299;    6,934;;
6407; CARAJAS PA - 230;    7,299;    6,934;;
7182; CARAUBAS II - 69;    6,610;    6,144;;
477; CARBOCLORO - 230;    9,123;    9,202;;
45467; CARGILL - 138;    7,138;    6,979;;
840; CASCAVEL - 138;    8,017;    8,430;;
839; CASCAVEL - 230;    7,974;    8,391;;
9538; CASCAVEL NORT - 230;    8,064;    8,466;;
2458; CASCAVEL OESTE - 230;    7,842;    8,203;;
896; CASCAVOE - 525;    7,456;    7,708;;
9539; CASCAVEL NORT - 138;    8,011;    8,414;;
9332; CAMPO ASSOBIO - 13,8;    8,595;    9,238;;
10355; CASSILANDIA - 230;    7,008;    6,816;;
2354; CAMPO ASSOBIO - 138;    8,576;    9,209;;
2353; CAMPO ASSOBIO - 230;    8,595;    9,238;;
6489; CASTANHA - 230;    8,419;    8,195;;
6485; CASTANHAL - 138;    8,419;    8,195;;
9278; CASTERTECH - 230;    7,780;    8,476;;
3886; CASTILHO - 138;    7,125;    6,963;;
7640; CASTILHO 2 - 138;    7,109;    6,943;;
10138; CASTRO NORTE - 230;    8,485;    8,989;;
2418; CASTRO NORTE - 138;    8,606;    9,109;;
638; CATANDUVA - 138;    7,689;    7,602;;
5786; CATU - 69;    8,734;    9,007;;
5782; CATU - 230;    8,734;    9,007;;
5653; CAUIPE - 69;    7,446;    7,101;;
5651; CAIUPE - 230;    7,446;    7,101;;
9279; CAXIAS SUL 5 - 13,8;    7,817;    8,540;;
1201; CAXIAS SUL 2 - 69;    7,788;    8,498;;
1200; CAXIAS SUL 2 - 230;    7,755;    8,449;;
1193; CAXIAS SUL 5 - 69;    7,800;    8,516;;
1192; CAXIAS 5 -230;    7,817;    8,540;;
1387; CAXIAS 6 - 69;    7,777;    8,472;;
1386; CAXIAS 6 - 230;    7,777;    8,472;;
965; CAXIAS - 230;    7,705;    8,382;;
964; CAXIAS RS - 525;    7,525;    8,144;;
5529; CAXIAS II - 69;    8,625;    8,397;;
10217; CAXIAS NORTE - 138;    7,628;    8,288;;
10216; CAXIAS NORTE - 230;    7,628;    8,288;;
10215; CAXIAS NORTE - 525;    7,484;    8,086;;
607; CBA - 230;    8,950;    9,038;;
608; CBA TERM - 440;    8,731;    8,764;;
603; CBA 2 - 440;    8,731;    8,764;;
10033; CURITIBA CENTRO - 138 (69kV);    8,567;    9,226;;
9543; CBA LESTE - 230;    8,401;    9,038;;
9542; CBA LESTE - 525;    7,893;    8,428;;
9698; CURITIBA NORT - 138;    8,428;    9,073;;
9697; CURITIBA NORT - 230;    8,475;    9,150;;
9201; CAMPO BOM - 23;    7,951;    8,706;;
624; CAPAO BONITO - 138;    9,652;   10,011;;
623; CAPAO BONITO - 230;   10,070;   10,509;;
6603; CASA BRANCA 5 - 138;    8,128;    8,082;;
3132; CASA BRANCA - 138;    8,128;    8,082;;
3964; CANA BRAVA - 230;    6,340;    5,810;;
9321; C.COMPRIDO - 13,8;    8,397;    9,010;;
2363; C.COMPRIDO - 69;    8,490;    9,133;;
816; C.COMPRIDO - 230;    8,397;    9,010;;
4144; JARINU 2 - 138;    8,520;    8,534;;
6132; CEAMIRIM - 230;    6,954;    6,528;;
6130; CEA.MIRIM II - 500;    6,847;    6,413;;
3081; CEBRASP - 88;    8,813;    8,841;;
3149; CERQUEIRA CESAR 2 - 88;    8,548;    8,682;;
4172; CEDASA - 138;    8,432;    8,481;;
3429; CENTRO-CTR - 20;    9,524;    9,753;;
428; CENTRO-CTR - 88;    9,524;    9,753;;
427; CENTRO - 230;    9,524;    9,753;;
4148; FERRO LIGAS - 138;    9,306;    9,531;;
9731; CERRO CHATO - 230;    6,966;    7,792;;
3933; PPE-INVEX - 138;    9,300;    9,523;;
2035; CERQUILHO 3 - 230;    9,384;    9,606;;
3919; CERQUILHO - 88;    8,689;    8,823;;
3874; CERQUILHO 2 - 138;    9,300;    9,523;;
3920; CESARIO LANGE - 138;    9,320;    9,551;;
970; GARABI 2 - 500;    7,293;    7,904;;
971; GARABI 1 - 500;    7,293;    7,904;;
6107; CAMPO FORMOSO - 230;    6,686;    6,216;;
1043; RIVERA - 230;    7,086;    7,917;;
5222; CAMPINA GRANDE II - 230;    7,479;    7,131;;
1890; C.G.IMBIRUSSU - 138;    7,392;    7,299;;
1026; CAMPO GRANDE2 - 138;    7,362;    7,262;;
1025; CAMPO GRANDE II - 230;    7,362;    7,262;;
5226; C.GRANDE II - 69;    7,479;    7,131;;
5202; CAMPINA GRANDE III - 230;    7,418;    7,063;;
