Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
212; FLORESTA II - 230;; 11,286;; 11,286; 11,272;;; 11,272;
21049; FORD - 230;;  7,786;;  7,786;  7,772;;;  7,772;
7743; FORQUILINHA - 230;;  6,360;;  6,360;  6,346;;;  6,346;
325; FORTALEZA II - 230;;  9,522;;  9,522;  9,508;;;  9,508;
525; FORTALEZA II - 500;; 10,501;; 10,501; 10,487;;; 10,487;
225; FORTALEZA - 230;;  9,468;;  9,468;  9,454;;;  9,454;
3642; F.IGUACU - 765;;  8,055;;  8,055;  8,041;;;  8,041;
6652; F.IGUACUNORTE - 230;;  4,484;;  4,484;  5,376;;;  5,376;
276; FUNIL - 230;;  5,655;;  5,655;  5,641;;;  5,641;
3808; FURNAS - 345;;  9,589;;  9,589;  9,575;;;  9,575;
275; G. MANGABEIRA - 230;;  8,158;;  8,158;  8,144;;;  8,144;
58405; MLGICO CE - 230;; 10,750;; 10,750; 10,736;;; 10,736;
8720; GARABI 1 - 525;;  7,861;;  7,861;  7,847;;;  7,847;
8721; GARABI 2 - 525;;  7,861;;  7,861;  7,847;;;  7,847;
349; GARANHUNS II - 230;; 10,070;; 10,070; 10,056;;; 10,056;
549; GARANHUNS - 500;; 10,379;; 10,379; 10,365;;; 10,365;
9100; GARIBALDI - 230;;  6,404;;  6,404;  6,390;;;  6,390;
46942; GASPAR 2 -230;;  6,322;;  6,322;  6,307;;;  6,307;
7713; GASPAR 2 - 525;;  7,033;;  7,033;  7,019;;;  7,019;
4533; GERDAU SP - 440;;  6,348;;  6,348;  6,334;;;  6,334;
2675; GETULINA - 440;;  8,627;;  8,627;  8,613;;;  8,613;
11051; GILBUES - 230;; 11,329;; 11,329; 11,315;;; 11,315;
836; GILBUES II - 500;; 11,517;; 11,517; 11,503;;; 11,503;
23321; GOIANIA LESTE - 230;;  8,710;;  8,710;  8,696;;;  8,696;
247; GOIANINHA - 230;;  8,986;;  8,986;  8,972;;;  8,972;
11260; Gentio do Ouro II - 230;; 12,137;; 12,137; 12,123;;; 12,123;
11560; Gentio do Ouro II - 500;; 11,703;; 11,703; 11,689;;; 11,689;
6663; PARIGOT SOUZA - 230;;  8,289;;  8,289;  8,275;;;  8,275;
7021; GUARAPUAVA OESTE - 230;;  7,811;;  7,811;  7,796;;;  7,796;
3759; GRAJAU - 500;;  8,943;;  8,943;  8,929;;;  8,929;
6664; GRALHA AZUL - 230;;  7,310;;  7,310;  7,296;;;  7,296;
7750; GRAVATAI - 525;;  7,542;;  7,542;  7,528;;;  7,528;
9110; GRAVATA2 - 230;;  7,032;;  7,032;  7,018;;;  7,018;
7924; GRAVATAI3 - 230;;  6,914;;  6,914;  6,900;;;  6,900;
50214; GUAIBA3 - 230;;  7,318;;  7,318;  7,304;;;  7,304;
50213; GUAIBA3 - 525;;  7,775;;  7,775;  7,761;;;  7,761;
9120; GUAIBA - 230;;  7,298;;  7,298;  7,284;;;  7,284;
6665; GUAIRA F -230;;  8,065;;  8,065;  8,051;;;  8,051;
6630; GUAIRA F - 525;;  8,118;;  8,118;  8,104;;;  8,104;
390; GUAMA - 230;;  9,148;;  9,148;  9,134;;;  9,134;
9130; GUARITA - 230;;  8,080;;  8,080;  8,066;;;  8,066;
3831; GUARULHOS - 345;;  4,561;;  4,561;  5,376;;;  5,376;
1638; GUILMAN - 230;;  9,779;;  9,779;  9,765;;;  9,765;
39040; GURUPI - 230;; 10,880;; 10,880; 10,866;;; 10,866;
5002; GURUPI - 500;; 11,286;; 11,286; 11,272;;; 11,272;
2720; GV - 230;;  7,653;;  7,653;  7,639;;;  7,639;
1619; VALADARES - 230;;  9,869;;  9,869;  9,855;;;  9,855;
38921; VALADARES 6 - 500;; 10,227;; 10,227; 10,213;;; 10,213;
3384; HENRY BORDEN - 230;;  4,814;;  4,814;  5,376;;;  5,376;
44652; HUBNER - 230;;  6,354;;  6,354;  6,340;;;  6,340;
38856; ILHA SOLTEIRA 2 - 230;; 10,175;; 10,175; 10,161;;; 10,161;
38876; ILHA SOLTEIRA 2 - 440;; 10,130;; 10,130; 10,116;;; 10,116;
2611; ILHA SOLTEIRA - 440;; 10,130;; 10,130; 10,116;;; 10,116;
365; IBIAPINA II – 230;; 10,403;; 10,403; 10,389;;; 10,389;
288; IBICOARA - 230;;  9,788;;  9,788;  9,774;;;  9,774;
588; IBICOARA - 500;; 10,540;; 10,540; 10,526;;; 10,526;
6680; IBIPORA - 230;;  6,704;;  6,704;  6,690;;;  6,690;
3691; IBIUNA - 345;;  5,044;;  5,044;  5,376;;;  5,376;
3690; IBIUNA - 500;;  6,481;;  6,481;  6,467;;;  6,467;
217; ICO - 230;;  9,919;;  9,919;  9,905;;;  9,905;
394; IGAPORA II - 230;; 11,766;; 11,766; 11,752;;; 11,752;
11394; IGAPORA III - 230;; 11,685;; 11,685; 11,671;;; 11,671;
11594; IGAPORA III - 500;; 11,500;; 11,500; 11,486;;; 11,486;
7714; IGUATEMI 2 MS - 230;;  7,955;;  7,955;  7,941;;;  7,941;
9264; IJUI 2 - 230;;  7,328;;  7,328;  7,314;;;  7,314;
7918; CAIACA-SC - 230;;  5,471;;  5,471;  5,457;;;  5,457;
7755; IMBIRUSSU - 230;;  8,755;;  8,755;  8,741;;;  8,741;
239; IMPERATRIZ - 230;; 10,208;; 10,208; 10,194;;; 10,194;
539; IMPERATRIZ - 500;; 10,955;; 10,955; 10,941;;; 10,941;
7904; INDAIAL - 230;;  6,198;;  6,198;  6,184;;;  6,184;
38855; INOCENCIA - 230;; 10,141;; 10,141; 10,127;;; 10,127;
936; INTEGRADORA - 500;; 10,242;; 10,242; 10,228;;; 10,228;
2930; INTERNATIONAL 2 - 230;;  5,139;;  5,139;  5,376;;;  5,376;
2929; INTERNATIONAL - 345;;  4,794;;  4,794;  5,376;;;  5,376;
1623; IPATINGA I - 230;;  9,493;;  9,493;  9,479;;;  9,479;
6649; F.IGUACU - 500;;  8,099;;  8,099;  8,084;;;  8,084;
1521; IRAPE - 230;; 12,573;; 12,573; 12,558;;; 12,558;
1510; IRAPE - 345;; 13,065;; 13,065; 13,051;;; 13,051;
7022; IRATI NORTE - 230;;  7,264;;  7,264;  7,250;;;  7,250;
283; IRECE - 230;; 10,841;; 10,841; 10,827;;; 10,827;
7827; ITA SC - 230;;  8,549;;  8,549;  8,535;;;  8,535;
7722; ITA - 525;;  8,364;;  8,364;  8,350;;;  8,350;
271; ITABAIANA - 230;;  8,815;;  8,815;  8,801;;;  8,801;
3664; ITABERA - 765;;  7,006;;  7,006;  6,991;;;  6,991;
1626; ITABIRA 2 - 230;;  9,380;;  9,380;  9,366;;;  9,366;
1484; ITABIRITO - 345;;  9,110;;  9,110;  9,095;;;  9,095;
1483; ITABIRITO - 500;; 10,021;; 10,021; 10,006;;; 10,006;
1620; ITABIRA 4 - 230;;  9,081;;  9,081;  9,067;;;  9,067;
26513; ITABIRA 5 - 230;;  9,808;;  9,808;  9,794;;;  9,794;
26510; ITABIRA 5 - 500;; 10,400;; 10,400; 10,386;;; 10,386;
345; ITABUNA - 230;;  2,355;;  2,355;  5,376;;;  5,376;
913; ITACAIUNAS - 230;; 10,260;; 10,260; 10,246;;; 10,246;
912; ITACAIUNAS - 500;; 10,940;; 10,940; 10,926;;; 10,926;
213; ITAGIPA - 230;;  6,587;;  6,587;  6,573;;;  6,573;
4292; ITAGUACU - 230;; 12,025;; 12,025; 12,011;;; 12,011;
4293; ITAGUACU - 500;; 10,848;; 10,848; 10,834;;; 10,834;
7903; ITAJAI 2 - 230;;  6,151;;  6,151;  6,137;;;  6,137;
