CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
CPFL PIRATININGA;2937;42;415;OESTE--SP088; OESTE - 88;  8,540;  8,570;       ;       ;789,0;816,1
CPFL PIRATININGA;2937;42;3418;PROGAM-SP138; PROCTER GAMBL - 138;  8,419;  8,444;       ;       ;11,00;12,00
CPFL PIRATININGA;2937;42;528;SALTO--SP088; SALTO - 88;  8,418;  8,451;       ;       ;331,9;370,6
CPFL PIRATININGA;2937;42;3420;ULTFVA-SP138; T.ULTRAFERTIL - 138;  8,849;  8,904;       ;       ; 7,00; 7,00
CPFL PIRATININGA;2937;42;3087;VCARV--SP013; VIC. CARVALHO - 13,8;  8,798;  8,849;       ;       ; 9,30;11,00
CPFL PIRATININGA;2937;42;2034;ZANC-Y-SP138; ZANCHETTA - 138;  9,480;  9,688;       ;       ; 9,20;10,70
CPFL SANTA CRUZ;69;85;3150;AVARE-BIO230; AVARE NOVA - 230;  9,146;  9,306;       ;       ;48,70;47,00
CPFL SANTA CRUZ;69;85;3146;B.CAMP-SP088; BERNAR.CAMPOS - 88;  8,746;  8,855;       ;       ;48,37;48,37
CPFL SANTA CRUZ;69;85;683;CACOND-SP138; CACONDE - 138;  8,024;  8,003;       ;       ;18,10;18,00
CPFL SANTA CRUZ;69;85;6603;CBRAN5-SP138; CASA BRANCA 5 - 138;  8,014;  7,992;       ;       ;12,60;11,30
CPFL SANTA CRUZ;69;85;3132;CBRANC-SP138; CASA BRANCA - 138;  8,014;  7,992;       ;       ;15,32;16,00
CPFL SANTA CRUZ;69;85;3149;CEC2---SP088; CERQUEIRA CESAR 2 - 88;  8,796;  8,910;       ;       ;16,13;17,13
CPFL SANTA CRUZ;69;85;3127;DURATE-SP138; DURATEX ITAP - 138;  9,680;  9,925;       ;       ;24,00;24,00
CPFL SANTA CRUZ;69;85;9116;IPAUSS-SP088; UTE IPAUSSU - 88;  8,746;  8,856;       ;       ; 6,00; 6,00
CPFL SANTA CRUZ;69;85;3147;ITAI2--SP138; ITAI 2 - 138;  9,396;  9,609;       ;       ;50,50;65,00
CPFL SANTA CRUZ;69;85;741;ITAPE2-SP138; ITAPETININGA2 - 138;  9,675;  9,919;       ;       ;45,00;45,00
CPFL SANTA CRUZ;69;85;3128;ITAPE4-SP138; ITAPETININGA 4 - 138;  9,675;  9,918;       ;       ;57,00;57,00
CPFL SANTA CRUZ;69;85;4277;ITAPE9-SP138; ITAPETININGA9 - 138;  9,649;  9,888;       ;       ;20,00;17,36
CPFL SANTA CRUZ;69;85;3137;JA-ANT-SP138; ANTARTICA JAG - 138;  8,247;  8,257;       ;       ;44,00;47,00
CPFL SANTA CRUZ;69;85;1968;JAG--Y-SP138; JAGUARIUNA - 138;  8,247;  8,257;       ;       ;18,00;18,00
CPFL SANTA CRUZ;69;85;4217;JAGUA5-SP138; JAGUARIUNA 5 - 138;  8,247;  8,257;       ;       ;26,00;26,00
CPFL SANTA CRUZ;69;85;3130;MOCOC-BIO138; MOCOCA - 138;  7,982;  7,955;       ;       ;35,64;34,02
CPFL SANTA CRUZ;69;85;6601;MOCOC4-SP138; MOCOCA 4 - 138;  8,024;  8,003;       ;       ;31,50;30,60
CPFL SANTA CRUZ;69;85;3148;OURIN1-SP088; OURINHOS 1 - 88;  8,671;  8,775;       ;       ;29,00;33,00
CPFL SANTA CRUZ;69;85;3140;OURIN2-SP088; OURINHOS 2 - 88;  8,692;  8,797;       ;       ;66,00;66,00
CPFL SANTA CRUZ;69;85;3135;PEDRE-BIO138; ETU PEDREIRA - 138;  8,247;  8,257;       ;       ;33,50;38,50
CPFL SANTA CRUZ;69;85;3133;SJRPA-BIO138; S.J.RIOPARDO - 138;  8,024;  8,003;       ;       ;50,00;50,00
CPFL SANTA CRUZ;69;85;7690;US.MOCOCA138; MOCOCA 5 - 138;  7,900;  7,863;       ;       ; 5,00; 5,00
EDP ES;380;11;3036;JNEIVA-2-138; JOAO NEIVA 2 - 138;  7,149;  6,946;       ;       ;313,0;314,8
EDP ES;380;11;3024;LINHA2-ES138; LINHARES - 138;  7,232;  7,035;       ;       ;52,27;48,71
EDP ES;380;11;2655;MASCAR-ES138; MASCARENHAS - 138;  7,089;  6,885;       ;       ;76,10;96,90
EDP ES;380;11;3033;R.N.SUL--138; RIO NOVO SUL - 138;  7,215;  7,024;       ;       ;189,7;214,5
EDP ES;380;11;3030;SMATEUS2-138; SAO MATEUS 2 - 138;  7,358;  7,166;       ;       ;52,27;44,80
EDP ES;380;11;2909;VERONA-ES138; VERONA - 138;  7,347;  7,159;       ;       ;87,66;82,74
EDP ES;380;11;2619;VIANA--ES138; VIANA - 138;  7,259;  7,071;       ;       ;319,8;334,0
EDP ES;380;11;177;VITORI-ES138; VITORIA - 138;  7,292;  7,106;       ;       ;537,4;567,4
EDP SAO PAULO;391;29;452;AGUAZUL--138; AGUA AZUL - 138;  8,518;  8,551;       ;       ;61,67;60,55
EDP SAO PAULO;391;29;459;APAREC-SP088; APARECIDA - 88;  8,206;  8,185;       ;       ;96,19;103,5
EDP SAO PAULO;391;29;3058;AVP----SP088; VILA DE PAIVA - 88;  8,754;  8,789;       ;       ;19,24;17,22
EDP SAO PAULO;391;29;3056;BARRAU-SP138; BARRA DO UNA - 138;  8,645;  8,682;       ;       ;27,34;28,35
EDP SAO PAULO;391;29;3051;BIRITI-SP138; BIRITIBA - 138;  8,565;  8,599;       ;       ;22,29;22,13
EDP SAO PAULO;391;29;3054;BOISSU-SP138; BOISSUCANGA - 138;  8,612;  8,647;       ;       ;34,43;33,42
EDP SAO PAULO;391;29;3057;CARAGU-SP138; CARAGUATATUBA - 88;  8,535;  8,560;       ;       ;61,77;60,75
EDP SAO PAULO;391;29;3081;CEBRA--SP088; CEBRASP - 88;  8,726;  8,761;       ;       ;10,84;11,65
EDP SAO PAULO;391;29;3401;DCTA---SP088; ETC DCTA SP - 088;  8,769;  8,804;       ;       ; 2,21; 5,87
EDP SAO PAULO;391;29;3063;EMBRAE-SP138; EMBRAER - 88;  8,427;  8,436;       ;       ; 8,10; 9,82
EDP SAO PAULO;391;29;3084;GLEB-Y-SP138; GLEBA - 138;  8,571;  8,601;       ;       ;28,15;28,96
EDP SAO PAULO;391;29;445;ITAPET-SP088; ITAPETI - 88;  8,562;  8,585;       ;       ;318,9;318,9
EDP SAO PAULO;391;29;3060;JAMBEI-SP138; JAMBEIRO - 88;  8,457;  8,470;       ;       ; 5,18; 6,30
EDP SAO PAULO;391;29;3077;JUQUEH-SP138; JUQUEHY - 138;  8,633;  8,669;       ;       ;16,20;16,20
EDP SAO PAULO;391;29;3046;MANUEL-SP138; MANUEL AREIAS - 138;  8,541;  8,574;       ;       ;23,40;27,34
EDP SAO PAULO;391;29;3055;MARESI-SP138; MARESIAS - 138;  8,603;  8,637;       ;       ;16,20;15,19
EDP SAO PAULO;391;29;3090;MASSAG-SP138; MASSAGUACU - 138;  8,535;  8,560;       ;       ;24,30;24,30
EDP SAO PAULO;391;29;3082;MFOODS-SP088; MASTERFOODS - 88;  8,702;  8,736;       ;       ;15,70;15,19
EDP SAO PAULO;391;29;447;MOG-EP-SP088; MOGI - 88;  9,016;  9,111;       ;       ;212,6;217,4
EDP SAO PAULO;391;29;3076;OLARIA-SP138; OLARIA - 138;  8,561;  8,590;       ;       ; 5,10; 5,10
EDP SAO PAULO;391;29;3059;P.NOVO-SP138; PORTO NOVO - 138;  8,550;  8,577;       ;       ;24,05;23,29
EDP SAO PAULO;391;29;3069;PET-RP-SP138; RIO PARDO - 138;  8,569;  8,601;       ;       ;17,52;17,92
EDP SAO PAULO;391;29;3048;PETROM-SP138; PETROM - 138;  8,565;  8,599;       ;       ; 6,58; 6,58
EDP SAO PAULO;391;29;3047;POLIMX-SP138; POLIMIX - 138;  8,544;  8,578;       ;       ; 0,00; 0,00
EDP SAO PAULO;391;29;462;S.CAB1-SP088; SANTA CABECA - 88;  8,444;  8,452;       ;       ;141,8;144,3
EDP SAO PAULO;391;29;455;S.JOSE-SP088; S.JOSE CAMPOS - 88;  8,771;  8,806;       ;       ;493,9;503,9
EDP SAO PAULO;391;29;3072;SIFAO--SP138; SIFAO - 138;  8,633;  8,673;       ;       ; 3,45; 3,45
EDP SAO PAULO;391;29;3075;SKOL---SP088; SKOL - 88;  8,627;  8,660;       ;       ;17,22;17,22
EDP SAO PAULO;391;29;3073;SLUZIA-SP138; SANTA LUZIA -138;  8,432;  8,442;       ;       ;12,00;12,00
ENEL CEARA;39;66;5486;ACARAU-CE230; ACARAU II – 230;  6,138;  6,138;       ;       ;43,25;53,00
ENEL CEARA;39;66;5383;AQUIR2-CE069; AQUIRAZ II - 69;  6,138;  6,138;       ;       ;255,0;282,7
ENEL CEARA;39;66;5423;BANABU-CE069; BANABUIU - 69;  6,138;  6,138;       ;       ;117,0;116,0
ENEL CEARA;39;66;5653;CAUIPE-CE069; CAUIPE - 69;  6,138;  6,138;       ;       ;158,0;164,0
ENEL CEARA;39;66;8320;CRATO2-CE069; CRATO - 69;  6,138;  6,138;       ;       ;109,2;118,2
ENEL CEARA;39;66;5473;D.GOUV-CE069; DELM. GOUVEIA- 69;  6,138;  6,138;       ;       ;278,8;320,8
ENEL CEARA;39;66;5453;FORTAL-CE069; FORTALEZA - 69;  6,138;  6,138;       ;       ;205,7;229,9
ENEL CEARA;39;66;6011;IBIAPI-CE230; IBIAPINA II – 230;  6,138;  6,138;       ;       ;61,00;62,00
ENEL CEARA;39;66;5633;ICO----CE000; ICO - 69;  6,138;  6,138;       ;       ;29,43;30,45
ENEL CEARA;39;66;5083;MARACANAU069; MARACANAU - 69;  6,138;  6,138;       ;       ;212,0;227,0
ENEL CEARA;39;66;5413;MILAGR-CE069; MILAGRES - 69;  6,138;  6,138;       ;       ;174,0;184,1
ENEL CEARA;39;66;5855;PACABA-CE069; PACATUBA - 69;  6,138;  6,138;       ;       ;185,0;185,0
ENEL CEARA;39;66;5643;PICI2--CE069; PICI II - 69;  6,138;  6,138;       ;       ;311,0;320,0
ENEL CEARA;39;66;5433;RUSSAS-CE069; RUSSAS II - 69;  6,138;  6,138;       ;       ;108,0;136,0
ENEL CEARA;39;66;5483;SOBRAL-CE069; SOBRAL II - 69;  6,138;  6,138;       ;       ;202,0;209,0
ENEL CEARA;39;66;5613;TAUA2--CE069; TAUA II - 69;  6,138;  6,138;       ;       ;70,00;68,00
ENEL RIO;383;10;173;ADRIAN-RJ138; ADRIANOPOLIS - 138;  7,869;  7,778;       ;       ; 0,33; 0,90
ENEL RIO;383;10;185;ANGRA--RJ138; ANGRA 1 - 138;  7,774;  7,686;       ;       ;61,02;67,22
ENEL RIO;383;10;1773;ANGRAE-RJ138; ANGRA AMPLA - 138;  7,811;  7,726;       ;       ;39,75;37,88
ENEL RIO;383;10;175;CAMPOS-RJ138; CAMPOS - 138;  7,242;  7,051;       ;       ;608,4;608,4
ENEL RIO;383;10;1771;JACUAC-RJ138; JACUACANGA - 138;  7,818;  7,734;       ;       ;29,01;32,02
ENEL RIO;383;10;9505;LAGOS--RJ138; LAGOS - 138;  7,402;  7,237;       ;       ;520,0;520,0
ENEL RIO;383;10;1770;MURIQU-RJ138; MURIQUI - 138;  7,851;  7,771;       ;       ;40,33;40,33
ENEL RIO;383;10;1780;RESEND-RJ138; RESENDE - 138;  7,828;  7,761;       ;       ;194,9;197,1
ENEL RIO;383;10;169;SJOSE1-RJ138; SAO JOSE - 138;  7,846;  7,761;       ;       ; 1220; 1220
ENEL RIO;383;10;1736;V.PEDR-RJ138; VENDA PEDRAS - 138;  7,831;  7,727;       ;       ;472,6;479,9
ENEL SAO PAULO;390;28;444;ANHANG-SP088; ANHANGUERA - 88;  8,808;  8,860;       ;       ;518,6;516,3
ENEL SAO PAULO;390;28;3494;BANDE1-SP034; BANDEIRANTES - 34,5;  8,893;  8,968;       ;       ;191,4;224,6
ENEL SAO PAULO;390;28;493;BANDEI-SP088; ECH BANDEIRAN - 88;  8,893;  8,968;       ;       ;696,6;736,7
ENEL SAO PAULO;390;28;3429;CENTR--SP020; CENTRO-CTR - 20;  9,445;  9,659;       ;       ;119,2;137,6
ENEL SAO PAULO;390;28;428;CENTRO-SP088; CENTRO-CTR - 88;  9,445;  9,659;       ;       ;131,0;162,8
ENEL SAO PAULO;390;28;583;EMBUG--SP138; EMBU-GUACU - 138;  8,755;  8,806;       ;       ;289,7;276,2
ENEL SAO PAULO;390;28;411;ESOUZA-SP088; EDGARD SOUZA - 88;  9,077;  9,202;       ;       ;269,9;292,2
ENEL SAO PAULO;390;28;588;JANDI--SP088; JANDIRA - 88;  8,692;  8,737;       ;       ;535,4;519,7
ENEL SAO PAULO;390;28;465;LESTE--SP088; LESTE - 88;  8,860;  8,908;       ;       ;718,4;709,5
ENEL SAO PAULO;390;28;496;M.FORN-SP088; M. FORNASARO - 88;  8,821;  8,876;       ;       ;703,1;709,7
ENEL SAO PAULO;390;28;3440;MREAL--SP020; MIGUEL REALE - 20;  8,978;  9,050;       ;       ;74,83;84,51
ENEL SAO PAULO;390;28;441;MREALE-SP088; MIGUEL REALE - 88;  8,978;  9,050;       ;       ;229,0;219,2
ENEL SAO PAULO;390;28;443;NORDES-SP088; NORDESTE - 88;  8,853;  8,909;       ;       ;208,1;211,2
ENEL SAO PAULO;390;28;436;NORTE2-SP088; NORTE - 88;  8,772;  8,820;       ;       ;579,2;578,4
ENEL SAO PAULO;390;28;3739;PARELH-SP138; PARELHEIROS - 138;  8,791;  8,846;       ;       ;54,55;51,07
ENEL SAO PAULO;390;28;486;PIRA2--SP088; PIRATININGA 2 - 88;  8,790;  8,846;       ;       ;496,8;480,9
ENEL SAO PAULO;390;28;485;PIRATI-SP088; PIRATININGA - 88;  8,721;  8,745;       ;       ;246,0;242,8
ENEL SAO PAULO;390;28;422;PIRITU-SP088; PIRITUBA - 88;  9,309;  9,467;       ;       ;266,6;274,4
ENEL SAO PAULO;390;28;467;RAMORF-SP088; RAM REBERT F - 88;  8,911;  8,961;       ;       ;657,3;638,4
ENEL SAO PAULO;390;28;3475;SUL--1-SP088; SUL - 88;  9,003;  9,067;       ;       ;823,6;831,3
ENERGISA ACRE;26;94;6991;FEIJO--AC069; FEIJO - 69;  7,017;  6,641;       ;       ; 9,73; 9,95
ENERGISA ACRE;26;94;6952;R.BRAN-AC069; RIO BRANCO 1 - 69;  6,819;  6,423;       ;       ;167,2;170,4
ENERGISA ACRE;26;94;6951;R.BRAN-AC138; RIO BRANCO 1 – 138;  6,819;  6,423;       ;       ;18,80;20,40
ENERGISA M.G. DO SUL - EMS;404;26;1079;ANAS-A-MS138; ANASTACIO - 138;  8,065;  8,173;       ;       ;101,5;112,0
ENERGISA M.G. DO SUL - EMS;404;26;1890;CGIMBI-MS138; C.G.IMBIRUSSU - 138;  7,549;  7,518;       ;       ;225,5;262,0
ENERGISA M.G. DO SUL - EMS;404;26;1026;CGRAN2-MS138; CAMPO GRANDE2 - 138;  7,511;  7,472;       ;       ;204,0;225,5
ENERGISA M.G. DO SUL - EMS;404;26;1089;CHAPAD-MS230; CHAPADAO - 230;  6,589;  6,396;       ;       ;33,50;35,50
ENERGISA M.G. DO SUL - EMS;404;26;1019;CORUM2-MS138; CORUMBA - 138;  8,117;  8,243;       ;       ;66,00;85,50
