DE,NOME_DE,PARA,NOME_PARA,CIRC,EST
  220,BOM-NO-PE230,  212,FLORII-PE230, 1,D
  212,FLORII-PE230,  220,BOM-NO-PE230, 1,D
  220,BOM-NO-PE230,  212,FLORII-PE230, 2,D
  212,FLORII-PE230,  220,BOM-NO-PE230, 2,D
  220,BOM-NO-PE230,  620,B.NOME-PE069, 1, 
  620,B.NOME-PE069,  220,BOM-NO-PE230, 1, 
  220,BOM-NO-PE230,  620,B.NOME-PE069, 2, 
  620,B.NOME-PE069,  220,BOM-NO-PE230, 2, 
  220,BOM-NO-PE230,21035,PISF-2-PE230, 1, 
21035,PISF-2-PE230,  220,BOM-NO-PE230, 1, 
  221,MILAGR-CE230,  222,BANABU-CE230, 1, 
  222,BANABU-CE230,  221,MILAGR-CE230, 1, 
  221,MILAGR-CE230,  233,COREM2-PB230, 1, 
  233,COREM2-PB230,  221,MILAGR-CE230, 1, 
  221,MILAGR-CE230,  233,COREM2-PB230, 2, 
  233,COREM2-PB230,  221,MILAGR-CE230, 2, 
  221,MILAGR-CE230,  517,S.MILA-CE230, 1, 
  517,S.MILA-CE230,  221,MILAGR-CE230, 1, 
  221,MILAGR-CE230,  517,S.MILA-CE230, 2, 
  517,S.MILA-CE230,  221,MILAGR-CE230, 2, 
  521,MILAGR-CE500,  221,MILAGR-CE230, 1, 
  221,MILAGR-CE230,  521,MILAGR-CE500, 1, 
  521,MILAGR-CE500,  221,MILAGR-CE230, 2, 
  221,MILAGR-CE230,  521,MILAGR-CE500, 2, 
  521,MILAGR-CE500,  221,MILAGR-CE230, 3, 
  221,MILAGR-CE230,  521,MILAGR-CE500, 3, 
  221,MILAGR-CE230,  621,MILAGR-CE069, 1, 
  621,MILAGR-CE069,  221,MILAGR-CE230, 1, 
  221,MILAGR-CE230,  621,MILAGR-CE069, 2, 
  621,MILAGR-CE069,  221,MILAGR-CE230, 2, 
  221,MILAGR-CE230,  621,MILAGR-CE069, 3, 
  621,MILAGR-CE069,  221,MILAGR-CE230, 3, 
  221,MILAGR-CE230,  621,MILAGR-CE069, 4, 
  621,MILAGR-CE069,  221,MILAGR-CE230, 4, 
  222,BANABU-CE230,  622,BANABU-CE069, 1, 
  622,BANABU-CE069,  222,BANABU-CE230, 1, 
  222,BANABU-CE230,  622,BANABU-CE069, 2, 
  622,BANABU-CE069,  222,BANABU-CE230, 2, 
  222,BANABU-CE230,  622,BANABU-CE069, 3, 
  622,BANABU-CE069,  222,BANABU-CE230, 3, 
  222,BANABU-CE230,  622,BANABU-CE069, 4, 
  622,BANABU-CE069,  222,BANABU-CE230, 4, 
  222,BANABU-CE230,11219,AQUIR2-CE230, 1, 
11219,AQUIR2-CE230,  222,BANABU-CE230, 1, 
  222,BANABU-CE230,11219,AQUIR2-CE230, 2, 
11219,AQUIR2-CE230,  222,BANABU-CE230, 2, 
  222,BANABU-CE230,11219,AQUIR2-CE230, 3, 
11219,AQUIR2-CE230,  222,BANABU-CE230, 3, 
  222,BANABU-CE230,11220,MRDNVA-CE230, 1, 
11220,MRDNVA-CE230,  222,BANABU-CE230, 1, 
  222,BANABU-CE230,11220,MRDNVA-CE230, 2, 
11220,MRDNVA-CE230,  222,BANABU-CE230, 2, 
  222,BANABU-CE230,21037,LIBRA--CE230, 1, 
21037,LIBRA--CE230,  222,BANABU-CE230, 1, 
  223,RUSSA2-CE230,  623,RUSSAS-CE069, 1, 
  623,RUSSAS-CE069,  223,RUSSA2-CE230, 1, 
  223,RUSSA2-CE230,  623,RUSSAS-CE069, 2, 
  623,RUSSAS-CE069,  223,RUSSA2-CE230, 2, 
  223,RUSSA2-CE230,  623,RUSSAS-CE069, 3, 
  623,RUSSAS-CE069,  223,RUSSA2-CE230, 3, 
  223,RUSSA2-CE230,11014,QUIXER-CE230, 1, 
11014,QUIXER-CE230,  223,RUSSA2-CE230, 1, 
  223,RUSSA2-CE230,11220,MRDNVA-CE230, 1, 
11220,MRDNVA-CE230,  223,RUSSA2-CE230, 1, 
  223,RUSSA2-CE230,11220,MRDNVA-CE230, 2, 
11220,MRDNVA-CE230,  223,RUSSA2-CE230, 2, 
  223,RUSSA2-CE230,56071,ARACT2-CE230, 1, 
56071,ARACT2-CE230,  223,RUSSA2-CE230, 1, 
  224,MOSSR2-RN230,  624,MOSSOR-RN069, 1, 
  624,MOSSOR-RN069,  224,MOSSR2-RN230, 1, 
  224,MOSSR2-RN230,  624,MOSSOR-RN069, 2, 
  624,MOSSOR-RN069,  224,MOSSR2-RN230, 2, 
  224,MOSSR2-RN230,  624,MOSSOR-RN069, 3, 
  624,MOSSOR-RN069,  224,MOSSR2-RN230, 3, 
  224,MOSSR2-RN230,  624,MOSSOR-RN069, 4, 
  624,MOSSOR-RN069,  224,MOSSR2-RN230, 4, 
  225,FORTAL-CE230,  625,FORTAL-CE069, 1, 
  625,FORTAL-CE069,  225,FORTAL-CE230, 1, 
  225,FORTAL-CE230,  625,FORTAL-CE069, 2, 
  625,FORTAL-CE069,  225,FORTAL-CE230, 2, 
  225,FORTAL-CE230,  625,FORTAL-CE069, 3, 
  625,FORTAL-CE069,  225,FORTAL-CE230, 3, 
  225,FORTAL-CE230,  625,FORTAL-CE069, 4, 
  625,FORTAL-CE069,  225,FORTAL-CE230, 4, 
  225,FORTAL-CE230,  625,FORTAL-CE069, 5, 
  625,FORTAL-CE069,  225,FORTAL-CE230, 5, 
  226,SOBRAL-CE230,  218,CAUIPE-CE230, 1, 
  218,CAUIPE-CE230,  226,SOBRAL-CE230, 1, 
  226,SOBRAL-CE230,  326,SOBRA3-CE230, 1, 
  326,SOBRA3-CE230,  226,SOBRAL-CE230, 1, 
  226,SOBRAL-CE230,  326,SOBRA3-CE230, 2, 
  326,SOBRA3-CE230,  226,SOBRAL-CE230, 2, 
  226,SOBRAL-CE230,  626,SOBRAL-CE069, 1, 
  626,SOBRAL-CE069,  226,SOBRAL-CE230, 1, 
  226,SOBRAL-CE230,  626,SOBRAL-CE069, 2, 
  626,SOBRAL-CE069,  226,SOBRAL-CE230, 2, 
  226,SOBRAL-CE230,  626,SOBRAL-CE069, 3, 
  626,SOBRAL-CE069,  226,SOBRAL-CE230, 3, 
  226,SOBRAL-CE230,  626,SOBRAL-CE069, 4, 
  626,SOBRAL-CE069,  226,SOBRAL-CE230, 4, 
  226,SOBRAL-CE230,21038,PORTLA-CE230, 1, 
21038,PORTLA-CE230,  226,SOBRAL-CE230, 1, 
  227,PIRIPI-PI230,  127,PIRIPI-PI138, 1, 
  127,PIRIPI-PI138,  227,PIRIPI-PI230, 1, 
  227,PIRIPI-PI230,  127,PIRIPI-PI138, 2, 
  127,PIRIPI-PI138,  227,PIRIPI-PI230, 2, 
  227,PIRIPI-PI230,  127,PIRIPI-PI138, 3, 
  127,PIRIPI-PI138,  227,PIRIPI-PI230, 3, 
  227,PIRIPI-PI230,  627,PIRIPI-PI069, 1, 
  627,PIRIPI-PI069,  227,PIRIPI-PI230, 1, 
  227,PIRIPI-PI230,  627,PIRIPI-PI069, 2, 
  627,PIRIPI-PI069,  227,PIRIPI-PI230, 2, 
  227,PIRIPI-PI230,  627,PIRIPI-PI069, 3, 
  627,PIRIPI-PI069,  227,PIRIPI-PI230, 3, 
  228,TERES--PI230,  227,PIRIPI-PI230, 1, 
  227,PIRIPI-PI230,  228,TERES--PI230, 1, 
  228,TERES--PI230,  236,C.NETO-MA230, 1, 
  236,C.NETO-MA230,  228,TERES--PI230, 1, 
  228,TERES--PI230,  328,TERES2-PI230, 1, 
  328,TERES2-PI230,  228,TERES--PI230, 1, 
  228,TERES--PI230,  328,TERES2-PI230, 2, 
  328,TERES2-PI230,  228,TERES--PI230, 2, 
  228,TERES--PI230,  628,TERES--PI069, 1, 
  628,TERES--PI069,  228,TERES--PI230, 1, 
  228,TERES--PI230,  628,TERES--PI069, 2, 
  628,TERES--PI069,  228,TERES--PI230, 2, 
  228,TERES--PI230,  628,TERES--PI069, 3, 
  628,TERES--PI069,  228,TERES--PI230, 3, 
  228,TERES--PI230,  628,TERES--PI069, 4, 
