CONCESSIONÁRIA;Cód. ANEEL;Cód. ONS;BARRA;NOME;PONTO DE CONEXÃO;TUST RB Ponta;TUST RB Fora Ponta;TUST FR Ponta;TUST FR Fora Ponta;MUST RB Ponta;MUST RB Fora Ponta
CEEE-D;5707;23;1262;PALGR6-RS069; PORTOALEGRE6 - 69;  9,811; 10,624;       ;       ;65,00;70,00
CEEE-D;5707;23;1271;PALGR8-RS069; PORTO ALEGRE8 - 69;  9,628; 10,415;       ;       ;60,00;60,00
CEEE-D;5707;23;1266;PALGR9-RS069; PORTO ALEGRE9 - 69;  9,610; 10,396;       ;       ; 9,70;10,20
CEEE-D;5707;23;1240;PELOT3-RS138; PELOTAS3 - 138;  9,070;  9,785;       ;       ;130,0;140,0
CEEE-D;5707;23;1238;PMEDIC-RS138; P.MEDICI - 138;  8,737;  9,414;       ;       ;30,00;40,00
CEEE-D;5707;23;1245;QUINTA-RS069; QUINTA - 69;  9,014;  9,705;       ;       ;80,00;80,00
CEEE-D;5707;23;1247;QUINTA-RS138; QUINTA - 138;  9,025;  9,721;       ;       ;30,00;35,00
CEEE-D;5707;23;9303;RESTIN-RS069; RESTINGA - 69;  9,964; 10,764;       ;       ;80,00;80,00
CEEE-D;5707;23;9559;SJERUT-RS069; N.S. JERONIMO - 69;  9,359; 10,081;       ;       ; 5,00; 5,00
CEEE-D;5707;23;9823;SVPAL2-RS138; S V PALMAR 2 - 138;  8,730;  9,383;       ;       ;15,00;40,00
CEEE-D;5707;23;9694;TORRE2-RS069; TORRES 2- 69;  9,627; 10,413;       ;       ;20,00;22,00
CEEE-D;5707;23;9264;VIAMA3-RS069; VIAMAO 3 - 69;  9,661; 10,432;       ;       ;80,00;80,00
CELESC-DIS;5697;25;948;BIGUAC-SC138; BIGUACU - 138;  9,443; 10,142;       ;       ;425,0;487,0
CELESC-DIS;5697;25;940;BLUMEN-SC138; BLUMENAU - 138;  9,449; 10,127;       ;       ;309,0;381,0
CELESC-DIS;5697;25;2725;CANOIN-SC138; CANOINHAS ESU - 138;  9,844; 10,528;       ;       ;250,0;280,0
CELESC-DIS;5697;25;958;CNOVOE-SC138; C.NOVOS - 138;  8,707;  9,300;       ;       ;268,0;290,0
CELESC-DIS;5697;25;2706;DESTER-SC138; DESTERRO - 138;  9,765; 10,531;       ;       ;123,0;140,0
CELESC-DIS;5697;25;2749;FORQUI-SC069; FORQUILHINHA - 69;  9,482; 10,249;       ;       ;56,00;72,00
CELESC-DIS;5697;25;9534;GASPA2-SC138; GASPAR-2-138;  9,660; 10,483;       ;       ;301,0;379,0
