Número;Nome;T_C N-1;RB_Reg.;RB_Nac.;RB_Média;TB_>= Piso;LI_Env I;LS_Env S;T_C N
4532; CBA - 230;;  5,143;  0,458;  2,800;  5,361;;;  5,361;
2672; CBA TERM - 440;;  5,573;  0,617;  3,095;  5,361;;;  5,361;
7299; CBA LESTE - 230;;  6,764;  0,000;  3,382;  5,361;;;  5,361;
7300; CBA LESTE - 525;;  7,194;  0,000;  3,597;  5,361;;;  5,361;
44655; CURITIBA NORT - 230;;  6,301;  0,000;  3,151;  5,361;;;  5,361;
2802; CAPAO BONITO - 230;;  3,367;  0,000;  1,684;  5,361;;;  5,361;
1153; CACHOEIRA DOURADA - 230;; 11,515;  6,209;  8,862;  8,532;;;  8,532;
2941; TR.CENTRO 1 - 230;;  3,136;  0,000;  1,568;  5,361;;;  5,361;
2942; TR.CENTRO 2 - 230;;  3,136;  0,000;  1,568;  5,361;;;  5,361;
2943; CENTRO - 230;;  2,827;  0,000;  1,413;  5,361;;;  5,361;
44906; CERQUILHO 3 - 230;;  4,345;  0,000;  2,172;  5,361;;;  5,361;
39850; CAMPO GRANDE II - 230;;  8,575;  2,407;  5,491;  5,361;;;  5,361;
11244; CAMPINA GRANDE II - 230;; 10,230; 19,381; 14,806; 14,476;;; 14,476;
12244; CAMPINA GRANDE III - 230;; 10,422; 19,539; 14,981; 14,651;;; 14,651;
544; CAMPINA GRANDE III - 500;; 10,828; 19,490; 15,159; 14,829;;; 14,829;
58208; CHAPADA 1 PI - 230;; 11,718; 17,978; 14,848; 14,518;;; 14,518;
58217; CHAPADA 2 PI - 230;; 11,638; 18,305; 14,971; 14,641;;; 14,641;
58227; CHAPADA 3 PI - 230;; 11,782; 18,714; 15,248; 14,918;;; 14,918;
13020; CHAPADINHA II - 230;;  8,661; 14,713; 11,687; 11,357;;; 11,357;
38853; CHAPADAO - 230;;  9,828;  3,767;  6,797;  6,468;;;  6,468;
7882; CHARQUEADAS 3 - 230;;  7,012;  0,000;  3,506;  5,361;;;  5,361;
7780; CHARQUEADAS (SE) - 230;;  6,819;  0,000;  3,409;  5,361;;;  5,361;
2773; CHAVANTES - 230;;  6,566;  0,120;  3,343;  5,361;;;  5,361;
6617; C.IND. CURITIBA - 230;;  6,354;  0,000;  3,177;  5,361;;;  5,361;
4582; CLAUDIA - 500;; 12,037;  5,683;  8,860;  8,530;;;  8,530;
274; CAMACARI II - 230;;  8,580; 14,056; 11,318; 10,988;;; 10,988;
7776; C.MOURAO - 230;;  7,654;  0,000;  3,827;  5,361;;;  5,361;
11246; CEAMIRIM - 230;; 11,050; 20,378; 15,714; 15,384;;; 15,384;
11546; CEA.MIRIM II - 500;; 11,219; 20,125; 15,672; 15,342;;; 15,342;
12201; CURRAL NOVO PIAUI - 230;; 11,869; 17,724; 14,797; 14,467;;; 14,467;
12501; CURRAL NOVO PIAUI - 500;; 11,772; 17,306; 14,539; 14,209;;; 14,209;
7723; CAMPOS NOVOS - 230;;  8,394;  0,000;  4,197;  5,361;;;  5,361;
7736; CAMPOS NOVOS - 525;;  7,677;  0,000;  3,839;  5,361;;;  5,361;
40663; CODEMI GO- 230;; 12,133; 10,179; 11,156; 10,826;;; 10,826;
5201; C.PORTO VELHO - 500;; 19,051;  9,230; 14,140; 13,810;;; 13,810;
7850; CERRO CHATO - 230;;  7,581;  0,000;  3,791;  5,361;;;  5,361;
5199; C.PORTO VELHO - 230;;  4,060;  0,000;  2,030;  5,361;;;  5,361;
41172; COLIDER - 500;; 12,037;  5,683;  8,860;  8,530;;;  8,530;
591; COLINAS - 500;; 11,199; 14,214; 12,707; 12,377;;; 12,377;
4320; COMPERJ - 345;;  8,738;  5,311;  7,024;  6,694;;;  6,694;
7917; ENSEAD-SC2 - 30;;  5,713;  0,000;  2,856;  5,361;;;  5,361;
233; SE COREMAS II - 230;; 10,416; 19,391; 14,903; 14,573;;; 14,573;
3908; CORUMBA - 345;; 10,565;  6,980;  8,772;  8,442;;;  8,442;
38851; CORUMBA 2 - 30;;  7,733;  1,843;  4,788;  5,361;;;  5,361;
279; COTEGIPE - 230;;  8,280; 13,845; 11,062; 10,732;;; 10,732;
11033; COTEMINAS - 230;; 10,041; 19,171; 14,606; 14,276;;; 14,276;
3276; COXIPO - 230;;  8,011;  2,304;  5,158;  5,361;;;  5,361;
1616; CONSE. PENA - 230;; 10,256;  8,326;  9,291;  8,961;;;  8,961;
11217; CRATO 2 - 230;; 11,007; 18,514; 14,761; 14,431;;; 14,431;
10405; CRISTIANO ROCHA - 230;;  7,729; 12,452; 10,090;  9,760;;;  9,760;
4283; CUIABA - 230;;  8,197;  2,451;  5,324;  5,361;;;  5,361;
4284; CUIABA - 500;;  8,572;  2,847;  5,709;  5,379;;;  5,379;
7739; CURITIBA - 230;;  6,500;  0,000;  3,250;  5,361;;;  5,361;
7732; CURITIBA - 525;;  7,218;  0,000;  3,609;  5,361;;;  5,361;
219; DELM. GOUVEIA - 230;;  8,923; 17,721; 13,322; 12,992;;; 12,992;
281; D.PITUACU - 230;;  8,105; 13,747; 10,926; 10,596;;; 10,596;
4361; DARDANELOS - 230;; 10,547;  3,315;  6,931;  6,601;;;  6,601;
7745; DESTERRO - 230;;  4,930;  0,000;  2,465;  5,361;;;  5,361;
9090; DONA FRANCISCA - 230;;  8,584;  0,000;  4,292;  5,361;;;  5,361;
6761; D. INDUSTRIAL SJP - 230;;  6,246;  0,000;  3,123;  5,361;;;  5,361;
2664; JANDIRA - 440;;  5,556;  0,755;  3,155;  5,361;;;  5,361;
7771; DOURADOS 2 - 230;;  8,781;  2,135;  5,458;  5,361;;;  5,361;
7757; DOURADOS - 230;;  8,720;  2,050;  5,385;  5,361;;;  5,361;
51003; J. BOTANICO 2 - 230;;  6,008;  0,000;  3,004;  5,361;;;  5,361;
51002; J. BOTANICO 1 - 230;;  6,217;  0,000;  3,108;  5,361;;;  5,361;
2923; DOMENICO RANGONI - 345;;  4,899;  0,000;  2,450;  5,361;;;  5,361;
287; E. MARTIN - 230;; 10,887; 17,052; 13,970; 13,640;;; 13,640;
2939; EDGARD SOUZA - 230;;  4,315;  0,000;  2,157;  5,361;;;  5,361;
38862; EDEIA - 230;; 11,352;  5,775;  8,563;  8,233;;;  8,233;
9097; ELDORADO - 230;;  6,728;  0,000;  3,364;  5,361;;;  5,361;
214; EMBASA - 230;;  7,654; 12,537; 10,096;  9,766;;;  9,766;
1509; EMBORCACAO - 500;; 10,652;  6,846;  8,749;  8,419;;;  8,419;
2645; EMBU-GUACU - 345;;  4,735;  0,000;  2,367;  5,361;;;  5,361;
2643; EMBU-GUACU - 440;;  5,374;  0,505;  2,939;  5,361;;;  5,361;
13230; ENCRUZO - 230;;  8,273; 14,381; 11,327; 10,997;;; 10,997;
3946; ESTREITO - 345;;  9,577;  5,160;  7,368;  7,038;;;  7,038;
4302; ESTREITO - 500;;  9,478;  5,356;  7,417;  7,087;;;  7,087;
269; EUNAPOLI - 230;;  8,583;  9,350;  8,966;  8,636;;;  8,636;
12546; EXTREMOZ II - 230;; 10,697; 20,182; 15,440; 15,110;;; 15,110;
7306; FOZ DO CHAPECO - 230;;  8,877;  0,000;  4,438;  5,361;;;  5,361;
6653; FCHOPIM--230;;  9,206;  0,052;  4,629;  5,361;;;  5,361;
4321; F.DIAS - 440;;  7,335;  2,591;  4,963;  5,361;;;  5,361;
4322; F.DIAS - 500;;  8,247;  3,574;  5,910;  5,580;;;  5,580;
7782; FARROUPILHA - 230;;  6,588;  0,000;  3,294;  5,361;;;  5,361;
9541; FEIJO - 230;;  0,196;  0,000;  0,098;  5,361;;;  5,361;
9095; FIBR-F RS - 230;;  6,675;  0,000;  3,337;  5,361;;;  5,361;
6651; FIGUEIRA - 230;;  6,498;  0,000;  3,249;  5,361;;;  5,361;
1194; FIRMINOPOLIS - 230;; 11,435;  6,004;  8,719;  8,389;;;  8,389;
212; FLORESTA II - 230;; 11,432; 19,787; 15,610; 15,280;;; 15,280;
21049; FORD - 230;;  7,964; 13,870; 10,917; 10,587;;; 10,587;
7743; FORQUILINHA - 230;;  6,181;  0,000;  3,091;  5,361;;;  5,361;
325; FORTALEZA II - 230;;  9,682; 18,269; 13,975; 13,645;;; 13,645;
525; FORTALEZA II - 500;; 10,638; 18,646; 14,642; 14,312;;; 14,312;
225; FORTALEZA - 230;;  9,631; 18,351; 13,991; 13,661;;; 13,661;
3642; F.IGUACU - 765;;  7,730;  0,544;  4,137;  5,361;;;  5,361;
6652; F.IGUACUNORTE - 230;;  4,253;  0,000;  2,126;  5,361;;;  5,361;
276; FUNIL - 230;;  5,833; 12,341;  9,087;  8,757;;;  8,757;
3808; FURNAS - 345;;  9,298;  5,058;  7,178;  6,848;;;  6,848;
275; G. MANGABEIRA - 230;;  8,346; 13,038; 10,692; 10,362;;; 10,362;
58405; MLGICO CE - 230;; 10,905; 19,205; 15,055; 14,725;;; 14,725;
8720; GARABI 1 - 525;;  7,674;  0,000;  3,837;  5,361;;;  5,361;
8721; GARABI 2 - 525;;  7,674;  0,000;  3,837;  5,361;;;  5,361;
349; GARANHUNS II - 230;; 10,217; 18,606; 14,412; 14,082;;; 14,082;
549; GARANHUNS - 500;; 10,525; 18,655; 14,590; 14,260;;; 14,260;
9100; GARIBALDI - 230;;  6,213;  0,000;  3,106;  5,361;;;  5,361;
46942; GASPAR 2 -230;;  6,115;  0,000;  3,058;  5,361;;;  5,361;
7713; GASPAR 2 - 525;;  6,801;  0,000;  3,401;  5,361;;;  5,361;
4533; GERDAU SP - 440;;  5,900;  1,074;  3,487;  5,361;;;  5,361;
2675; GETULINA - 440;;  8,203;  2,283;  5,243;  5,361;;;  5,361;
11051; GILBUES - 230;; 11,466; 14,732; 13,099; 12,769;;; 12,769;
836; GILBUES II - 500;; 11,648; 14,904; 13,276; 12,946;;; 12,946;
23321; GOIANIA LESTE - 230;;  8,707;  4,776;  6,742;  6,412;;;  6,412;
247; GOIANINHA - 230;;  9,133; 18,433; 13,783; 13,453;;; 13,453;
11260; Gentio do Ouro II - 230;; 12,315; 14,836; 13,576; 13,246;;; 13,246;
11560; Gentio do Ouro II - 500;; 11,884; 14,149; 13,017; 12,687;;; 12,687;
6663; PARIGOT SOUZA - 230;;  8,071;  0,000;  4,035;  5,361;;;  5,361;
7021; GUARAPUAVA OESTE - 230;;  7,572;  0,000;  3,786;  5,361;;;  5,361;
3759; GRAJAU - 500;;  8,487;  4,693;  6,590;  6,260;;;  6,260;
6664; GRALHA AZUL - 230;;  6,996;  0,000;  3,498;  5,361;;;  5,361;
7750; GRAVATAI - 525;;  7,335;  0,000;  3,668;  5,361;;;  5,361;
9110; GRAVATA2 - 230;;  6,830;  0,000;  3,415;  5,361;;;  5,361;
7924; GRAVATAI3 - 230;;  6,715;  0,000;  3,358;  5,361;;;  5,361;
50214; GUAIBA3 - 230;;  7,118;  0,000;  3,559;  5,361;;;  5,361;
50213; GUAIBA3 - 525;;  7,570;  0,000;  3,785;  5,361;;;  5,361;
9120; GUAIBA - 230;;  7,099;  0,000;  3,550;  5,361;;;  5,361;
6665; GUAIRA F -230;;  7,761;  0,440;  4,101;  5,361;;;  5,361;
6630; GUAIRA F - 525;;  7,811;  0,497;  4,154;  5,361;;;  5,361;
390; GUAMA - 230;;  9,193; 13,458; 11,326; 10,996;;; 10,996;
9130; GUARITA - 230;;  7,936;  0,000;  3,968;  5,361;;;  5,361;
3831; GUARULHOS - 345;;  4,118;  0,000;  2,059;  5,361;;;  5,361;
1638; GUILMAN - 230;;  9,798;  7,732;  8,765;  8,435;;;  8,435;
39040; GURUPI - 230;; 10,986; 12,034; 11,510; 11,180;;; 11,180;
5002; GURUPI - 500;; 11,368; 12,015; 11,691; 11,361;;; 11,361;
2720; GV - 230;;  7,253;  2,702;  4,978;  5,361;;;  5,361;
1619; VALADARES - 230;; 10,048;  8,322;  9,185;  8,855;;;  8,855;
38921; VALADARES 6 - 500;; 10,573;  9,228;  9,900;  9,570;;;  9,570;
3384; HENRY BORDEN - 230;;  4,388;  0,000;  2,194;  5,361;;;  5,361;
44652; HUBNER - 230;;  6,010;  0,000;  3,005;  5,361;;;  5,361;
38856; ILHA SOLTEIRA 2 - 230;;  9,840;  3,725;  6,782;  6,452;;;  6,452;
38876; ILHA SOLTEIRA 2 - 440;;  9,714;  3,494;  6,604;  6,274;;;  6,274;
2611; ILHA SOLTEIRA - 440;;  9,711;  3,488;  6,600;  6,270;;;  6,270;
365; IBIAPINA II – 230;; 10,523; 17,362; 13,942; 13,612;;; 13,612;
288; IBICOARA - 230;; 10,007; 11,329; 10,668; 10,338;;; 10,338;
588; IBICOARA - 500;; 10,760; 11,833; 11,297; 10,967;;; 10,967;
6680; IBIPORA - 230;;  6,416;  0,000;  3,208;  5,361;;;  5,361;
3691; IBIUNA - 345;;  4,598;  0,000;  2,299;  5,361;;;  5,361;
3690; IBIUNA - 500;;  5,947;  0,615;  3,281;  5,361;;;  5,361;
217; ICO - 230;; 10,089; 19,198; 14,643; 14,313;;; 14,313;
394; IGAPORA II - 230;; 11,991; 11,745; 11,868; 11,538;;; 11,538;
11394; IGAPORA III - 230;; 11,913; 11,522; 11,717; 11,387;;; 11,387;
11594; IGAPORA III - 500;; 11,731; 11,094; 11,412; 11,083;;; 11,083;
7714; IGUATEMI 2 MS - 230;;  7,643;  0,603;  4,123;  5,361;;;  5,361;
