GENERATOR,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
EOL ASSURUA 4 I,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 4 II,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 4 III,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 4 IV,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 4 V,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 4 VI,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 5 I,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 5 II,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 5 III,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 5 IV,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 5 V,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA 5 VI,0,11.069,11.714,11.722,12.282,12.775,12.791,13.246,13.019,13.038,13.018,12.998000000000001,12.978000000000002,12.958000000000002,12.938000000000002,12.918000000000003,12.898000000000003,12.878000000000004
EOL ASSURUA II,0,10.918,11.076,11.183,11.819,11.853,11.863,12.264,11.998,12.015,11.995000000000001,11.975000000000001,11.955000000000002,11.935000000000002,11.915000000000003,11.895000000000003,11.875000000000004,11.855000000000004
EOL ASSURUA III,0,10.918,11.076,11.183,11.819,11.853,11.863,12.264,11.998,12.016,11.996,11.976,11.956000000000001,11.936000000000002,11.916000000000002,11.896000000000003,11.876000000000003,11.856000000000003
EOL ASSURUA IV,0,10.918,11.076,11.183,11.819,11.853,11.863,12.264,11.998,12.015,11.995000000000001,11.975000000000001,11.955000000000002,11.935000000000002,11.915000000000003,11.895000000000003,11.875000000000004,11.855000000000004
EOL ASSURUA V,0,10.918,11.076,11.183,11.819,11.853,11.863,12.264,11.998,12.015,11.995000000000001,11.975000000000001,11.955000000000002,11.935000000000002,11.915000000000003,11.895000000000003,11.875000000000004,11.855000000000004
EOL ASSURUA VII,0,10.918,11.076,11.183,11.819,11.853,11.863,12.264,11.998,12.015,11.995000000000001,11.975000000000001,11.955000000000002,11.935000000000002,11.915000000000003,11.895000000000003,11.875000000000004,11.855000000000004
